PrimarySatellite,SecondarySatellite,TCA_EpDay,TCA_UTCG,Range,RangeX,RangeY,RangeZ,Velocity,VelocityX,VelocityY,VelocityZ,Latitude,Longitude,Altitude,PrimaryAge,SecondaryAge,PrimaryCluster,SecondaryCluster,DateGenerated
14965--COSMOS 1550,16510--COSMOS 1727,9.88425925926e-05,2020-06-30 00:00:08.540000,3.11638508248,-1.20511159131,1.40463264384,-2.50730316688,12.8230039597,-0.0402999986852,11.1790942025,6.28137399561,-75.5682456065,74.0537874359,1002.53358427,2020-06-29 15:56:46,2020-06-29 16:36:34,975,975,2020-07-01 00:00:00,
9486--COSMOS 860,17526--SL-8 R/B,0.00207587962963,2020-06-30 00:02:59.356000,4.52371667296,-0.293260783074,1.4653228832,4.26975871664,13.951146384,0.0752539507183,13.1971417304,-4.52374539731,30.2409906769,16.4538965996,966.187263678,2020-06-29 14:39:38,2020-06-29 01:13:49,975,975,2020-07-01 00:00:00,
5707--SL-8 R/B,14241--SL-8 R/B,0.0047553587963,2020-06-30 00:06:50.863000,4.88846730561,-2.76966189532,1.14568033534,3.86180037714,14.3007928792,0.0235357935487,13.7143164704,-4.05335007021,14.1847905562,96.0231906941,781.625273103,2020-06-29 04:59:39,2020-06-29 15:41:12,775,775,2020-07-01 00:00:00,
11962--METEOR 2-6,16182--SL-16 R/B,0.0252861111111,2020-06-30 00:36:24.720000,3.7478644035,3.54721922903,-0.514040628737,-1.0952102813,13.447504432,-0.00605528145361,12.1648030317,-5.73174545696,55.4949793948,-62.7391106524,854.753776305,2020-06-29 17:12:41,2020-06-29 13:03:12,850,850,2020-07-01 00:00:00,
11667--COSMOS 1150,14965--COSMOS 1550,0.0334154861111,2020-06-30 00:48:07.098000,2.50601607746,2.27527743452,-0.996048349781,-0.333341958554,4.4722884786,-0.0292824806137,1.35847937053,-4.26087321708,82.6503084802,162.344751462,1016.32620713,2020-06-29 19:39:39,2020-06-29 15:56:46,975,975,2020-07-01 00:00:00,
11239--SL-8 R/B,13111--SL-8 R/B,0.0344796180556,2020-06-30 00:49:39.039000,1.4357233925,-0.818740314927,-0.427232564009,-1.09928990386,13.7079144707,0.00222420191533,12.7749494132,-4.97067215573,-70.2467150504,-105.405376879,998.367226043,2020-06-29 05:14:57,2020-06-29 04:33:32,975,975,2020-07-01 00:00:00,
12504--COSMOS 1275,16736--SL-14 R/B,0.0352466319444,2020-06-30 00:50:45.309000,3.50700873169,-0.190641084412,0.966196567717,3.36589221657,14.1856460226,0.0068012734062,13.6351961024,-3.91330219494,62.8867931988,-51.7603298783,965.727641831,2020-06-29 05:03:45,2020-06-29 15:52:04,975,975,2020-07-01 00:00:00,
12785--COSMOS 1300,14372--COSMOS 1500,0.0501564930556,2020-06-30 01:12:13.521000,3.35414371983,3.30838890168,-0.39300949762,-0.387796987269,10.5989570993,-0.0113643347149,7.39904004075,-7.58893727216,-79.5624169482,-15.2308559985,541.942337995,2020-06-29 05:40:29,2020-06-29 19:56:15,615,615,2020-07-01 00:00:00,
10776--COSMOS 1000,17525--COSMOS 1821,0.0557023611111,2020-06-30 01:20:12.684000,4.56701021268,4.00759736376,0.277237785463,-2.17252960003,14.6084108582,-0.0176255997497,14.4949364396,1.81718869475,8.32963539681,-134.624063877,985.674366312,2020-06-29 04:23:55,2020-06-29 19:47:54,975,975,2020-07-01 00:00:00,
10020--SL-8 R/B,12087--COSMOS 1225,0.0634002546296,2020-06-30 01:31:17.782000,4.47013292307,3.77048153959,-2.33696615997,0.551494765772,3.6436219675,0.0386542642248,0.895766357212,3.53158456265,-82.7567109321,-118.927531122,1022.81048414,2020-06-29 15:29:41,2020-06-29 07:00:48,975,LEO,2020-07-01 00:00:00,
8923--COSMOS 836,12645--INTERCOSMOS 22,0.0662918865741,2020-06-30 01:35:27.619000,2.86830168904,2.79602163155,-0.219187462546,-0.601144301753,14.0490584352,0.0248233374009,13.2368115152,-4.70767964362,-50.1918800995,-109.146862985,812.741460194,2020-06-29 19:28:58,2020-06-29 03:49:05,775,LEO,2020-07-01 00:00:00,
39203--CZ-2C R/B,20978--DMSP 5D-2 F10 (USA 68),0.0882447222222,2020-06-30 02:07:04.344000,2.95587974206,-1.38553557462,-0.41792128374,2.57737424942,14.7580700048,-0.0498039281544,14.5720714385,2.33514107256,-18.6095016003,-136.223398218,752.052674128,2020-06-29 13:39:10,2020-06-29 19:31:30,775,LEO,2020-07-01 00:00:00,
14546--COSMOS 1513,21090--SL-8 R/B,0.104737384259,2020-06-30 02:30:49.310000,2.63593157225,-1.5771624993,1.5329678426,-1.4528259696,10.1165461469,0.0093372049833,6.96439115711,7.33768863946,-80.2758872207,42.6840495531,1003.92599927,2020-06-28 18:02:55,2020-06-29 20:00:21,975,975,2020-07-01 00:00:00,
14973--COSMOS 1553,15100--SL-14 R/B,0.104752037037,2020-06-30 02:30:50.576000,3.85636889797,3.34239147328,-1.38887724901,-1.33079686794,10.1935991722,0.0112013932107,7.06578570312,-7.34738123485,-79.9421336305,-23.9042743636,988.934593552,2020-06-29 16:45:46,2020-06-29 16:30:32,975,975,2020-07-01 00:00:00,
11239--SL-8 R/B,13111--SL-8 R/B,0.107202569444,2020-06-30 02:34:22.302000,1.62986915423,-0.819109533476,-0.510750017254,-1.31326594867,13.7077277145,0.00230989954443,12.7747795775,-4.97059357686,-70.2443773792,-131.713975474,998.469349848,2020-06-29 05:14:57,2020-06-29 04:33:32,975,975,2020-07-01 00:00:00,
24772--COSMOS 2341,23604--SL-8 R/B,0.110578136574,2020-06-30 02:39:13.951000,3.51844746292,2.14097557466,1.45917435555,-2.38044246688,12.4912120061,0.0288766039245,10.6389910469,6.54533521136,-76.4356723702,-55.8544483994,1027.13831771,2020-06-29 20:35:49,2020-06-29 04:25:57,975,975,2020-07-01 00:00:00,
10515--SL-3 R/B,36589--SL-19 R/B,0.117967546296,2020-06-30 02:49:52.396000,4.2020247683,-4.17508694815,-0.451789476296,0.146790319567,5.24825587201,-0.0184010117231,1.77583336223,4.9386503187,-61.7958317832,156.554019838,894.153192051,2020-06-29 15:27:08,2020-06-29 15:04:29,850,LEO,2020-07-01 00:00:00,
20788--FENGYUN 1B,7209--METEOR 1-16,0.129286979167,2020-06-30 03:06:10.395000,4.5895085071,3.35761711672,0.00182304359925,-3.12889634069,14.7942323263,-0.0182574752532,14.7942172575,-0.0106078469585,-79.8479501111,-16.2787967101,902.391696761,2020-06-29 07:00:43,2020-06-29 20:42:46,850,850,2020-07-01 00:00:00,
23657--SICH 1,20466--SL-14 R/B,0.156282800926,2020-06-30 03:45:02.834000,4.10355095085,-4.07110982057,-0.280431333092,0.431918397961,12.6900821835,-0.00793271539153,10.6785188672,6.85619119466,-76.1216622386,-68.0794491092,638.063721533,2020-06-29 07:05:40,2020-06-29 03:53:30,615,615,2020-07-01 00:00:00,
7737--SL-8 R/B,9848--SL-8 R/B,0.161422905093,2020-06-30 03:52:26.939000,2.86266699195,-0.452158553698,-1.65858521034,2.28899760794,11.9286276012,-0.0125265260044,9.66014423667,6.9981149506,78.0004837955,52.5774854927,987.519989013,2020-06-29 21:02:58,2020-06-29 17:28:35,975,975,2020-07-01 00:00:00,
28060--SERVIS 1,12092--SL-8 R/B,0.168646168981,2020-06-30 04:02:51.029000,4.9587707148,-4.55640906953,-1.79806762822,0.771684001016,5.64865821742,0.0212632327049,2.18210167428,5.21011706349,68.2028553297,178.119136392,1002.64745022,2020-06-29 18:02:53,2020-06-29 03:20:46,975,975,2020-07-01 00:00:00,
7008--COSMOS 627,10512--COSMOS 967,0.175906377315,2020-06-30 04:13:18.311000,3.07501343777,3.04026561641,-0.145690972781,-0.437340559065,13.9102718787,-0.0110702691213,13.1734337733,-4.4672344696,32.8231192309,120.409633909,1006.82192618,2020-06-30 00:51:14,2020-06-29 04:20:19,975,975,2020-07-01 00:00:00,
7593--COSMOS 700,17360--SL-8 R/B,0.178081828704,2020-06-30 04:16:26.270000,4.94561105197,-4.40605257046,1.9230470017,1.160887442,7.65194374094,0.0147329257459,3.97902442232,-6.53600723699,-81.7708540697,119.905675953,987.189245182,2020-06-29 04:35:30,2020-06-29 06:03:50,975,975,2020-07-01 00:00:00,
20103--NADEZHDA 1,24773--SL-8 R/B,0.178936018519,2020-06-30 04:17:40.072000,4.09855043462,-3.97563018614,-0.211390611781,0.973547275394,14.3720865226,-0.0421116905977,14.0799788775,2.88258433149,-52.3981187468,117.66558306,1016.19592142,2020-06-30 01:06:28,2020-06-30 00:30:40,975,975,2020-07-01 00:00:00,
11239--SL-8 R/B,13111--SL-8 R/B,0.179925520833,2020-06-30 04:19:05.565000,1.83209810412,-0.819462331308,-0.59451071153,-1.52696495197,13.707540825,0.00239523573177,12.7746096195,-4.97051494311,-70.2420401434,-158.022573082,998.571553732,2020-06-29 05:14:57,2020-06-29 04:33:32,975,975,2020-07-01 00:00:00,
23092--COSMOS 2279,26819--SL-8 R/B,0.183495775463,2020-06-30 04:24:14.035000,3.94114686639,0.648179625218,3.87164467833,-0.35052714678,1.40146803392,-0.0312964828138,0.131527810535,1.39493140166,82.9411944915,129.607645187,1007.31792879,2020-06-30 02:13:29,2020-06-29 02:19:55,975,975,2020-07-01 00:00:00,
5721--COSMOS 469,8419--COSMOS 778,0.19567443287,2020-06-30 04:41:46.271000,4.89715099412,-0.0629314689049,-1.57781169996,-4.63558386062,13.8919447065,-0.00992204552105,13.1512154584,-4.4756632187,-29.2234007059,106.269945824,1009.27349086,2020-06-29 15:27:23,2020-06-29 20:23:57,975,975,2020-07-01 00:00:00,
15293--SL-8 R/B,23466--SL-8 R/B,0.19659212963,2020-06-30 04:43:05.560000,3.2020745545,-2.29988293659,0.748043063973,2.0986308644,13.8747624635,0.0337386187276,13.0804004104,-4.62720436416,-68.4801318692,155.223452328,995.202371067,2020-06-29 06:33:12,2020-06-29 04:38:38,975,975,2020-07-01 00:00:00,
9737--COSMOS 890,23190--SL-8 R/B,0.197332337963,2020-06-30 04:44:09.514000,1.74753030403,0.534289513325,-1.10588006003,1.24315170928,10.9719343732,0.00551802508775,8.19911908491,7.29093681717,-71.6705138766,-45.7853183554,1016.46071201,2020-06-29 03:40:33,2020-06-30 01:43:32,975,975,2020-07-01 00:00:00,
20788--FENGYUN 1B,7209--METEOR 1-16,0.200336990741,2020-06-30 04:48:29.116000,3.35488323076,3.05330004787,0.00445344967621,-1.39017282252,14.7938439966,-0.017658803562,14.7938318079,0.00698603205945,-79.0703952232,-35.4537889464,902.3713715,2020-06-29 07:00:43,2020-06-29 20:42:46,850,850,2020-07-01 00:00:00,
13111--SL-8 R/B,31699--SL-24 R/B,0.210001388889,2020-06-30 05:02:24.120000,4.128013735,4.08131090533,-0.00142362231473,0.619190329128,14.5708520339,0.0356934002127,14.5694310061,-0.200337549119,75.0650438708,-121.178142768,1011.06455649,2020-06-29 04:33:32,2020-06-29 20:15:25,975,LEO,2020-07-01 00:00:00,
21232--METEOR 3-4,40879--CZ-4C R/B,0.219427962963,2020-06-30 05:15:58.576000,3.67391511877,2.85651898529,-2.2813801026,-0.365043030385,2.24330335995,0.0168806661851,0.375041599667,-2.21166652242,-5.21343961394,-73.5917782092,1210.22432443,2020-06-29 05:52:45,2020-06-29 04:04:42,1200,1200,2020-07-01 00:00:00,
5239--SL-8 R/B,6708--SL-8 R/B,0.239588032407,2020-06-30 05:45:00.406000,2.2485911095,2.24381319429,0.056475893788,0.135184319693,13.4445287007,0.019735340646,12.3001333339,-5.4278616848,-60.1353741504,-58.7315281335,1008.63000622,2020-06-29 04:50:25,2020-06-29 20:05:23,975,975,2020-07-01 00:00:00,
39203--CZ-2C R/B,4370--SL-8 R/B,0.242266134259,2020-06-30 05:48:51.794000,2.48018253592,2.26364549277,0.379758395478,-0.939679762284,13.9300308483,-0.0467244894606,12.9532514128,5.12414423031,-73.4666480067,21.0890102777,728.841660322,2020-06-29 13:39:10,2020-06-29 20:22:54,775,775,2020-07-01 00:00:00,
7593--COSMOS 700,17360--SL-8 R/B,0.250757962963,2020-06-30 06:01:05.488000,4.8240276994,-4.3478641927,1.7894108446,1.07950406931,7.65201482092,0.0148823975883,3.97903282957,-6.53608499601,-81.7704733878,93.6123650591,987.176189039,2020-06-29 04:35:30,2020-06-29 06:03:50,975,975,2020-07-01 00:00:00,
21798--DMSP 5D-2 F11 (USA 73),8294--SL-3 R/B,0.25243994213,2020-06-30 06:03:30.811000,4.14204988464,-0.347086752964,-0.0344413222653,4.1273383467,14.8884376941,0.0834265177996,14.8876227177,0.131555322199,80.1353082279,74.4896392147,846.967762597,2020-06-30 00:31:48,2020-06-29 02:22:32,850,LEO,2020-07-01 00:00:00,
11239--SL-8 R/B,13111--SL-8 R/B,0.252648483796,2020-06-30 06:03:48.829000,2.0399501959,-0.819798507225,-0.677487609507,-1.74078653151,13.7073538046,0.00248123687714,12.7744395414,-4.97043625551,-70.2397076156,175.668834864,998.673839882,2020-06-29 05:14:57,2020-06-29 04:33:32,975,975,2020-07-01 00:00:00,
19274--OKEAN 1,14780--LANDSAT 5,0.259677916667,2020-06-30 06:13:56.172000,1.68792014217,-1.18891948483,0.0826476786365,-1.19528834435,15.183586864,0.0383102344794,15.1497785152,1.01195519845,80.656975562,-92.8141587925,552.165850534,2020-06-29 04:18:09,2020-06-29 04:06:01,615,615,2020-07-01 00:00:00,
