PrimarySatellite,SecondarySatellite,TCA_EpDay,TCA_UTCG,Range,RangeX,RangeY,RangeZ,Velocity,VelocityX,VelocityY,VelocityZ,Latitude,Longitude,Altitude,PrimaryAge,SecondaryAge,PrimaryCluster,SecondaryCluster,DateGenerated
8026--METEOR 2-1,39630--DMSP 5D-3 F19 (USA 249),0.004858218,06:59.7,4.877376267,2.215070029,-0.005944923,4.345368646,14.87120969,-0.003154827,14.87119391,0.021432481,81.31397421,-174.0835107,857.8448091,12/8/19 22:08,12/9/19 20:17,850,850,12/11/19 0:00
24677--COSMOS 2336,10600--SL-8 R/B,0.009371597,13:29.7,3.234942009,3.231096873,-0.030576022,-0.15468647,14.44627421,0.006065599,14.19329331,-2.691695878,48.91296512,-109.2449362,1000.532478,12/8/19 17:52,12/9/19 17:01,975,975,12/11/19 0:00
19649--COSMOS 1980,23533--DMSP 5D-2 F13 (USA 109),0.010608727,15:16.6,4.666623317,4.644255474,-0.434626937,0.139153521,4.259987346,-0.008156931,1.219945264,4.081563329,-33.14346796,75.22062431,857.9130651,12/9/19 13:03,12/9/19 22:04,850,850,12/11/19 0:00
5175--SL-8 R/B,10677--SL-8 R/B,0.025850961,37:13.5,1.335732248,1.263852806,-0.326811371,0.282932943,9.746248553,-0.010549293,6.356151045,7.3884094,-68.84656667,-152.757394,773.9569721,12/9/19 18:17,12/9/19 16:45,775,775,12/11/19 0:00
17066--COSMOS 1791,24677--COSMOS 2336,0.038633461,55:37.9,0.701879748,-0.655654991,0.210622265,0.135609643,7.934570506,-0.002467238,4.292595375,-6.673157271,-81.64103263,11.31988664,1033.496328,12/9/19 21:57,12/8/19 17:52,975,975,12/11/19 0:00
10352--COSMOS 951,10776--COSMOS 1000,0.041413426,59:38.1,2.285385579,1.912833837,0.170330684,-1.238967883,14.54590716,-0.023782417,14.41467537,1.949354628,23.97583761,36.91764074,1008.294899,12/9/19 21:56,12/9/19 21:03,975,975,12/11/19 0:00
21398--SL-14 R/B,23659--SL-14 R/B,0.046720093,07:16.6,4.09323004,3.600383982,-1.475242056,1.270994973,9.774972408,-0.017654506,6.355239786,7.427025054,-80.1977406,-41.48900156,674.2990497,12/9/19 10:53,12/9/19 20:44,615,615,12/11/19 0:00
5846--COSMOS 475,23604--SL-8 R/B,0.055451875,19:51.0,3.486492896,1.702154544,2.412346094,-1.854424154,8.970739594,0.006884719,5.464579633,7.114245631,-73.80289202,-50.5033899,996.884552,12/9/19 21:04,12/9/19 20:35,975,975,12/11/19 0:00
17369--COSMOS 1818,23753--SL-6 R/B,0.056386227,21:11.8,4.875002969,-4.771068819,0.690866067,-0.724748472,10.75569658,-0.007611183,7.759113639,7.448564053,63.71990537,87.9643219,806.6896381,12/9/19 14:49,12/9/19 21:27,775,775,12/11/19 0:00
6206--COSMOS 521,24678--SL-8 R/B,0.059146134,25:10.2,1.882947221,-0.033900679,1.069814295,1.549141167,12.10305229,-0.016392598,9.957590587,-6.87967992,60.15100358,50.6277284,1000.87352,12/9/19 20:29,12/9/19 22:10,975,975,12/11/19 0:00
