PrimarySatellite,SecondarySatellite,TCA_EpDay,TCA_UTCG,Range,RangeX,RangeY,RangeZ,Velocity,VelocityX,VelocityY,VelocityZ,Latitude,Longitude,Altitude,PrimaryAge,SecondaryAge,PrimaryCluster,SecondaryCluster,DateGenerated
8873--COSMOS 823,10704--DELTA 1 R/B,0.0035175,2020-06-20 00:05:03.912000,0.546009810585,-0.544889611408,-0.0125975652811,0.0326086795742,13.7123030981,-0.00489275188322,12.8250155598,4.85244352945,-81.0128932325,-91.5468620562,1013.35415484,2020-06-19 19:50:36,2020-06-19 17:36:14,975,LEO,2020-06-21 00:00:00,
11869--COSMOS 1190,17304--SL-8 R/B,0.00452353009259,2020-06-20 00:06:30.833000,4.37184316202,-2.41475988383,1.29532843745,3.40647494866,13.9695491823,0.041607457886,13.0671068701,-4.93936141837,39.1894613476,-26.025564561,777.792937417,2020-06-19 20:06:50,2020-06-19 13:53:53,775,775,2020-06-21 00:00:00,
10702--LANDSAT 3,5918--SL-3 R/B,0.00589983796296,2020-06-20 00:08:29.746000,4.74471153149,4.30721772025,0.013497642147,-1.98997006033,14.7380389812,-0.029533675385,14.7379670789,0.035315061796,-81.0182835121,-31.5199122323,942.750282736,2020-06-19 19:52:05,2020-06-19 19:27:34,LEO,LEO,2020-06-21 00:00:00,
4800--SL-8 R/B,18986--SL-8 R/B,0.00759175925926,2020-06-20 00:10:55.928000,2.09898730672,1.21919597721,-1.5974036181,-0.606308967287,5.29527361263,0.0394513567163,1.90548117095,-4.94039550342,-72.5891595782,11.6552818007,996.042680727,2020-06-19 22:50:31,2020-06-19 21:03:17,975,975,2020-06-21 00:00:00,
36597--CZ-2D R/B,15890--SL-14 R/B,0.00999355324074,2020-06-20 00:14:23.443000,4.04452824182,-4.03174065312,0.00915885325576,0.321235303568,15.0753790199,0.0568602308238,15.0722768007,0.300485526883,77.5722101218,76.3396726121,633.34113798,2020-06-19 20:34:24,2020-06-19 21:09:07,615,615,2020-06-21 00:00:00,
10991--COSMOS 1027,4594--COSMOS 374,0.0164480671296,2020-06-20 00:23:41.113000,4.06136786926,-1.67402883916,1.25798836214,-3.47991403569,14.1184251733,0.58639591336,13.353653356,4.54598847919,23.2485447816,-67.6946109857,959.21068417,2020-06-19 19:53:13,2020-06-19 19:48:43,975,HIGH,2020-06-21 00:00:00,
7736--COSMOS 726,22007--SL-8 R/B,0.0171757638889,2020-06-20 00:24:43.986000,4.92697713075,1.74096551899,0.909523023279,-4.51850756099,14.4047790465,-0.0422140801964,14.124574512,2.82706070068,-51.4415871913,116.108917946,1001.65961099,2020-06-19 08:58:55,2020-06-19 19:48:31,975,975,2020-06-21 00:00:00,
23526--COSMOS 2310,12836--SL-8 R/B,0.0199293518519,2020-06-20 00:28:41.896000,2.29591326432,1.15676571593,-1.95821487478,0.31385553984,2.37276610027,0.0249343033392,0.389858001344,2.34038628988,-82.8742822888,-34.793957457,1007.28458744,2020-06-19 22:12:55,2020-06-19 20:13:01,975,975,2020-06-21 00:00:00,
37181--CZ-4B R/B,5118--SL-3 R/B,0.0233872453704,2020-06-20 00:33:40.658000,4.68467343923,1.09161623986,0.0659272204793,-4.55523795412,15.2599841545,-0.0216262483338,15.2584460685,0.215574292542,-50.7723195065,-112.887764359,517.693512891,2020-06-19 23:28:08,2020-06-19 20:22:21,615,615,2020-06-21 00:00:00,
18421--COSMOS 1892,13367--LANDSAT 4,0.0255858796296,2020-06-20 00:36:50.620000,2.27154363795,1.98946028637,-0.0763574800091,1.09367627903,15.1222157954,0.000993754150894,15.0856270679,1.05131610057,-80.747720702,-133.430353123,553.000389859,2020-06-19 18:42:12,2020-06-19 18:54:29,615,615,2020-06-21 00:00:00,
22219--COSMOS 2219,22802--COSMOS 2263,0.0344915740741,2020-06-20 00:49:40.072000,3.6622945727,-3.07619297135,-1.25344946122,1.54217469451,11.4684451469,0.0204918944271,8.87994415417,7.25750687143,-59.1752002914,106.311683441,878.37287292,2020-06-19 21:44:21,2020-06-19 16:52:33,850,850,2020-06-21 00:00:00,
10745--SL-8 R/B,21153--SL-8 R/B,0.0360773726852,2020-06-20 00:51:57.085000,3.97004937967,-3.27263554789,-0.696018425889,2.13698549329,13.9730893994,-0.0147530465717,13.292790153,4.30682477691,66.5324361627,-13.1980897516,1004.66814981,2020-06-19 16:34:38,2020-06-19 21:06:35,975,975,2020-06-21 00:00:00,
12904--SL-3 R/B,13121--SL-3 R/B,0.0377103356481,2020-06-20 00:54:18.173000,3.11625936075,-2.08988936099,0.473915438458,-2.26248514237,14.8834613083,-0.02765347326,14.5617415642,3.07771642889,42.3373623531,-174.167116657,535.326433274,2020-06-19 19:55:56,2020-06-19 19:31:33,615,615,2020-06-21 00:00:00,
18421--COSMOS 1892,13367--LANDSAT 4,0.0585350578704,2020-06-20 01:24:17.429000,2.35882710566,-2.1834829252,-0.0620634612333,-0.890289703726,15.1963883171,-0.00325884003655,15.1602592602,-1.04725661981,80.7328022405,34.5138454382,517.498707057,2020-06-19 18:42:12,2020-06-19 18:54:29,615,615,2020-06-21 00:00:00,
8419--COSMOS 778,11379--SL-8 R/B,0.0675261342593,2020-06-20 01:37:14.258000,3.50431489783,2.49564468893,-1.54151518833,1.91721449346,11.4758969338,0.0315766777054,8.96393710187,7.16540612816,-78.7500618321,135.775290308,1008.60513455,2020-06-19 21:03:30,2020-06-19 19:57:56,975,975,2020-06-21 00:00:00,
27422--IDEFIX/ARIANE 42P,22080--COSMOS 2208,0.0683517708333,2020-06-20 01:38:25.593000,1.115511962,0.252867593949,-0.171082676918,-1.07291921176,14.7220238138,-0.00492168473045,14.5385205039,-2.31719280774,62.5354295485,36.0013822145,806.610458379,2020-06-19 21:44:12,2020-06-19 18:36:53,775,775,2020-06-21 00:00:00,
36597--CZ-2D R/B,15890--SL-14 R/B,0.0772840162037,2020-06-20 01:51:17.339000,3.64783576952,-3.50880561453,0.0320278539389,-0.99697701949,15.0748487351,0.0566700562756,15.0720705536,0.283799430891,76.8798483075,49.664823394,633.935938218,2020-06-19 20:34:24,2020-06-19 21:09:07,615,615,2020-06-21 00:00:00,
