PrimarySatellite,SecondarySatellite,TCA_EpDay,TCA_UTCG,Range,RangeX,RangeY,RangeZ,Velocity,VelocityX,VelocityY,VelocityZ,Latitude,Longitude,Altitude,PrimaryAge,SecondaryAge,PrimaryCluster,SecondaryCluster,DateGenerated
16012--SL-8 R/B,35946--WORLDVIEW 2,0.000526458333333,2020-05-20 00:00:45.486000,3.90085353906,-3.03971783561,1.16972838375,2.14674388815,13.0875590574,-0.0103996056355,11.4861222074,-6.27320417056,-74.1390286929,7.68363942738,792.053702376,2020-05-19 21:05:14,2020-05-19 21:01:37,775,775,2020-05-21 00:00:00,
14032--COSMOS 1455,43264--CZ-4C R/B,0.00757243055556,2020-05-20 00:10:54.258000,4.82949998303,4.78732318656,-0.225044159839,0.595786807267,14.4309538855,0.0733836124487,13.6857185493,4.57691519275,-81.7915548584,115.860994972,542.561117871,2020-05-19 21:25:50,2020-05-19 19:46:40,615,615,2020-05-21 00:00:00,
17567--SL-14 R/B,36039--SL-19 R/B,0.0206124537037,2020-05-20 00:29:40.916000,2.67729392867,-0.733799557343,2.37281774171,0.999588392676,5.87854690437,0.0888676045423,2.30495947165,-5.40708591478,-69.4933059784,13.5371758948,653.856738876,2020-05-19 19:57:27,2020-05-19 19:58:11,615,LEO,2020-05-21 00:00:00,
10520--COSMOS 968,6966--SL-8 R/B,0.0210992476852,2020-05-20 00:30:22.975000,4.71131833314,2.33641227947,-1.63944712682,3.7483211195,13.6777788312,-0.0145530070559,12.5285206104,5.48794982478,-46.9920575556,-6.7371569973,775.98945286,2020-05-19 18:02:50,2020-05-19 20:07:18,775,775,2020-05-21 00:00:00,
7476--COSMOS 689,17360--SL-8 R/B,0.0617720486111,2020-05-20 01:28:57.105000,4.11363958069,-1.68119371732,-0.457550837518,-3.72642798343,14.631105907,0.0461227543136,14.5194390726,-1.80361353169,4.69787683367,-67.9166338002,972.31842221,2020-05-19 15:55:34,2020-05-19 21:03:55,975,975,2020-05-21 00:00:00,
9610--COSMOS 883,24678--SL-8 R/B,0.0641239351852,2020-05-20 01:32:20.308000,3.83651255528,0.596675169639,2.66874781046,-2.69083489886,10.4322904195,0.0232427808977,7.40507689609,7.3482636951,80.0213884393,-107.348211094,1010.49305915,2020-05-19 21:38:50,2020-05-19 21:37:26,975,975,2020-05-21 00:00:00,
18187--COSMOS 1867,11870--SL-8 R/B,0.0680516898148,2020-05-20 01:37:59.666000,1.44115866959,-1.41601618388,-0.220473258126,-0.152407415724,8.43279593602,0.00342218573698,4.77963788892,-6.94745257184,-63.8583076618,108.345096768,801.654530139,2020-05-19 16:01:42,2020-05-19 20:56:27,775,775,2020-05-21 00:00:00,
7363--METEOR 1-18,20791--CZ-4 R/B,0.0696986921296,2020-05-20 01:40:21.967000,3.80194902872,-2.26022944947,-0.0120720599063,3.05712831234,14.8219836589,-0.0392036823013,14.8219030801,0.0291846157384,75.6878343481,-142.210828746,906.465410745,2020-05-19 20:02:33,2020-05-19 19:13:38,LEO,LEO,2020-05-21 00:00:00,
7008--COSMOS 627,22307--COSMOS 2230,0.0712013888889,2020-05-20 01:42:31.800000,2.95683111917,-2.33650730445,-0.250766153256,-1.79463094255,14.5399768898,0.0360892974763,14.3937667965,-2.0564782825,29.9697114476,-130.601286927,1005.20801891,2020-05-19 22:13:38,2020-05-19 22:11:55,975,975,2020-05-21 00:00:00,
14546--COSMOS 1513,24773--SL-8 R/B,0.0718485069444,2020-05-20 01:43:27.711000,4.47560707468,3.95340246498,0.855314333303,-1.91575181799,13.3984257369,0.0347957184512,12.2077739656,5.5214904048,72.718344805,-165.355727813,1007.07904596,2020-05-19 20:22:44,2020-05-20 00:01:18,975,975,2020-05-21 00:00:00,
