PrimarySatellite,SecondarySatellite,TCA_EpDay,TCA_UTCG,Range,RangeX,RangeY,RangeZ,Velocity,VelocityX,VelocityY,VelocityZ,Latitude,Longitude,Altitude,PrimaryAge,SecondaryAge,PrimaryCluster,SecondaryCluster,DateGenerated
11326--COSMOS 1092,22007--SL-8 R/B,0.00634679398148,2020-01-24 00:09:08.363000,0.756140883882,-0.728597474617,0.197984451819,-0.0411936050435,3.0347884744,0.00357914984638,0.629767482289,2.96872383227,82.8241294549,-71.050652878,980.505403545,2020-01-23 08:49:43,2020-01-23 13:15:09,975,975,2020-01-25 00:00:00,
5050--COSMOS 400,8473--COSMOS 785,0.0068640162037,2020-01-24 00:09:53.051000,1.86705151293,0.524654093522,-1.5139106578,0.958485239464,7.85734876161,0.0543842114276,4.2163848404,6.63001288059,-60.6663841798,0.285357264049,1006.9977422,2020-01-23 12:33:38,2020-01-23 14:15:22,975,975,2020-01-25 00:00:00,
6828--COSMOS 586,12504--COSMOS 1275,0.00744373842593,2020-01-24 00:10:43.139000,2.37236873823,-0.214756281311,-1.60753956974,1.73142418301,10.7914406531,-0.00930735502783,7.90829416331,7.34261453231,-79.6703503858,-73.2065724661,993.989262727,2020-01-23 10:39:46,2020-01-23 12:25:21,975,975,2020-01-25 00:00:00,
10459--COSMOS 962,19325--SL-8 R/B,0.0108739814815,2020-01-24 00:15:39.512000,4.3370471663,-3.97180907143,-1.67136156682,-0.491183606931,3.93611970302,0.0202449649722,1.06540327878,-3.78913503473,-82.7143693666,-164.897056339,1022.76480553,2020-01-23 13:01:11,2020-01-23 13:02:40,975,975,2020-01-25 00:00:00,
15597--COSMOS 1634,7009--SL-8 R/B,0.0147343055556,2020-01-24 00:21:13.044000,3.40733087516,3.23620985337,0.151061773648,1.05547610977,14.5715997921,0.055719105376,14.3998407463,-2.23002295083,36.788142853,-165.898173236,975.689469861,2020-01-23 14:59:01,2020-01-23 14:32:58,975,975,2020-01-25 00:00:00,
21875--COSMOS 2180,7095--SL-8 R/B,0.0152055439815,2020-01-24 00:21:53.759000,4.57711337777,4.23209258628,-1.08665082421,1.36328617699,11.5065543517,-0.000203894497537,8.99831521744,7.1715490833,78.6758826636,62.2691325667,997.377179473,2020-01-23 03:18:06,2020-01-23 11:41:43,975,975,2020-01-25 00:00:00,
5681--OPS 7898 (P/L 3),21903--SL-8 R/B,0.0227169791667,2020-01-24 00:32:42.747000,3.79248907298,-2.73456863983,2.3320770444,1.21100139626,6.70558585598,-0.0329671433677,3.05996261261,-5.96660905781,69.3039757614,87.4740252319,1001.61658417,2020-01-23 18:53:46,2020-01-23 12:13:46,975,975,2020-01-25 00:00:00,
28060--SERVIS 1,19325--SL-8 R/B,0.0228590625,2020-01-24 00:32:55.023000,3.26770287936,1.48993088977,2.86707661119,-0.48770868053,2.39791098246,0.0044558157321,0.39983307299,2.36433727274,-28.9350146793,-98.7839065076,997.729386793,2020-01-23 12:58:09,2020-01-23 13:02:40,975,975,2020-01-25 00:00:00,
14552--SL-14 R/B,21423--SL-14 R/B,0.0334570833333,2020-01-24 00:48:10.692000,1.94795177116,1.28167214853,-0.817872812961,1.21775065932,12.5117772604,-0.0172348653469,10.3763677935,6.9910846503,76.563308223,164.641800474,642.25840106,2020-01-23 14:44:09,2020-01-23 14:36:40,615,615,2020-01-25 00:00:00,
28059--CZ-4B R/B,9023--SL-8 R/B,0.0629752777778,2020-01-24 01:30:41.064000,3.56043131221,-1.40323532634,-0.668778976027,3.20317599097,14.6370269421,-0.0317202142868,14.3302974257,2.98062530739,67.7070573794,132.171978621,759.996353295,2020-01-23 16:55:30,2020-01-24 01:01:21,775,775,2020-01-25 00:00:00,
