PrimarySatellite,SecondarySatellite,TCA_EpDay,TCA_UTCG,Range,RangeX,RangeY,RangeZ,Velocity,VelocityX,VelocityY,VelocityZ,Latitude,Longitude,Altitude,PrimaryAge,SecondaryAge,PrimaryCluster,SecondaryCluster,DateGenerated
21153--SL-8 R/B,22488--SL-8 R/B,0.002416505,03:28.8,2.136072187,-1.98175315,0.384017098,0.698562603,12.92368708,0.01263558,11.33862903,-6.201372398,-75.22654272,93.32813891,985.3626022,10/26/19 21:21,10/26/19 17:47,975,975,10/28/19 0:00
10537--SL-8 R/B,11327--SL-8 R/B,0.012718322,18:18.9,1.922704269,-1.474779669,0.152865074,1.224111474,14.62686934,0.006920504,14.51509587,-1.804785469,6.004751177,-22.9393078,971.5976361,10/26/19 20:17,10/26/19 19:43,975,975,10/28/19 0:00
18122--COSMOS 1860,15056--SL-8 R/B,0.021368912,30:46.3,3.825464605,2.771812613,-0.887867555,2.482524016,13.88980144,0.040759264,13.09358974,4.634957441,33.73527301,171.7410621,973.2023376,10/26/19 20:51,10/26/19 19:06,975,975,10/28/19 0:00
21130--COSMOS 2135,10600--SL-8 R/B,0.029656366,42:42.3,1.035143488,-1.007619219,0.144492139,0.188009502,11.54356368,-0.054576638,9.006780949,-7.220026368,78.63524955,-10.72678083,951.7065365,10/26/19 22:29,10/26/19 17:21,975,975,10/28/19 0:00
7574--METEOR 1-20,28654--NOAA 18,0.042504942,01:12.4,3.783145185,1.935073575,0.010834929,-3.250778423,14.81823021,-0.006661765,14.81815239,0.047559264,-35.16944032,-55.14352084,875.8315686,10/26/19 17:11,10/26/19 20:05,850,850,10/28/19 0:00
8520--SL-3 R/B,28050--PSLV R/B,0.05493485,19:06.4,4.278301425,3.154603328,0.113900041,-2.887796341,14.84977296,-0.015955532,14.83891051,0.567659377,81.2502649,97.88396831,862.1287907,10/26/19 19:46,10/26/19 21:43,850,LEO,10/28/19 0:00
4783--COSMOS 381,20104--SL-8 R/B,0.057835961,23:17.0,2.690217904,-0.738151446,0.521095677,-2.533942405,14.41441343,0.039546638,14.12121839,2.892220948,-6.646179421,17.04592036,984.9586207,10/26/19 20:10,10/26/19 20:59,975,975,10/28/19 0:00
10138--SL-8 R/B,32053--SL-8 R/B,0.062245833,29:38.0,3.417886522,-2.330118757,-0.840121768,-2.355141242,13.82144609,0.004280996,13.01676107,-4.647180332,-68.70713813,108.5439089,1015.052569,10/26/19 16:13,10/26/19 20:50,975,975,10/28/19 0:00
10732--SL-8 R/B,5051--SL-8 R/B,0.067040949,36:32.3,2.014770724,-0.939595881,0.640260167,-1.66328818,13.76751345,0.032266711,12.85461475,4.929732759,40.76580974,-82.26988372,974.985487,10/26/19 15:29,10/26/19 21:27,975,LEO,10/28/19 0:00
4237--OPS 7613 (P/L 4),7364--SL-3 R/B,0.079241273,54:06.4,4.322936673,1.712732942,1.357766368,3.729718197,13.88436812,0.016620988,13.04382452,-4.757524956,43.46819141,-21.89397766,914.9059061,10/26/19 22:05,10/26/19 18:51,LEO,LEO,10/28/19 0:00
18122--COSMOS 1860,18960--IRS 1A,0.079944479,55:07.2,4.259607303,0.010363347,-0.667529679,4.206964595,14.60277821,0.028438084,14.42218699,2.289289231,-27.50673446,118.435559,925.8196434,10/26/19 20:51,10/26/19 20:16,975,LEO,10/28/19 0:00
22739--NOAA 13,20625--SL-16 R/B,0.097738542,20:44.6,1.205412011,-0.214764214,-0.117133643,-1.180327988,14.78143994,-0.004316401,14.70946417,-1.456918634,-20.8225961,62.25565293,852.0029901,10/26/19 21:59,10/25/19 21:35,850,850,10/28/19 0:00
8419--COSMOS 778,16510--COSMOS 1727,0.102217986,27:11.6,2.79352432,0.226265514,-2.575762642,-1.057368836,5.604324678,0.017444855,2.129713201,-5.183866554,82.42755758,-37.80638757,984.9563614,10/26/19 22:46,10/26/19 16:13,975,975,10/28/19 0:00
21130--COSMOS 2135,10600--SL-8 R/B,0.10223919,27:13.5,1.71595433,-1.215029504,0.753346347,0.949037328,11.54369159,-0.055182213,9.007016787,-7.219932067,78.63043153,-36.96325588,951.5675229,10/26/19 22:29,10/26/19 17:21,975,975,10/28/19 0:00
6256--METEOR 1-13,24298--SL-16 R/B,0.12449066,59:16.0,3.994426459,3.266303532,-1.975842672,-1.175903785,7.535558682,-0.021813153,3.826951232,-6.491426123,70.93211652,56.09753364,871.97198,10/26/19 16:15,10/26/19 18:03,850,850,10/28/19 0:00
