PrimarySatellite,SecondarySatellite,TCA_EpDay,TCA_UTCG,Range,RangeX,RangeY,RangeZ,Velocity,VelocityX,VelocityY,VelocityZ,Latitude,Longitude,Altitude,PrimaryAge,SecondaryAge,PrimaryCluster,SecondaryCluster,DateGenerated
13950--SL-8 R/B,15506--SL-8 R/B,0.0122340162037,2019-10-28 00:17:37.019000,3.47701052141,3.15829800657,1.39063308482,-0.425318105798,3.95535719465,0.0480369726373,1.05652743822,3.81133739766,82.7091706685,83.9598796075,980.849933419,2019-10-27 20:22:56,2019-10-27 19:17:39,975,975,2019-10-29 00:00:00,
6148--COSMOS 514,7593--COSMOS 700,0.0214121064815,2019-10-28 00:30:50.006000,3.84519280966,3.73599890908,0.588242229055,-0.694111644322,11.2375658536,3.62746771461e-05,8.57425821229,7.26395088233,-79.1105996094,-136.916542412,990.683766251,2019-10-27 15:09:19,2019-10-27 20:19:40,975,975,2019-10-29 00:00:00,
6019--COSMOS 489,14057--COSMOS 1459,0.054369212963,2019-10-28 01:18:17.500000,4.21516895423,4.180537474,-0.241689949799,-0.482018370311,13.3274404571,0.034950442149,12.0334795619,-5.72842188014,62.0794160493,130.66320261,973.623922533,2019-10-27 18:19:28,2019-10-27 18:01:22,975,975,2019-10-29 00:00:00,
27436--COSMOS 2389,7009--SL-8 R/B,0.0599970486111,2019-10-28 01:26:23.745000,2.89318172459,1.66050121844,0.839714112584,2.2154269124,13.74996164,0.0442266041168,12.8468006782,-4.90093883274,-69.988685209,-55.1695593697,995.753502966,2019-10-27 19:13:10,2019-10-27 19:28:58,975,975,2019-10-29 00:00:00,
20788--FENGYUN 1B,4237--OPS 7613 (P/L 4),0.0711367939815,2019-10-28 01:42:26.219000,2.16057025551,-2.1492249851,-0.17640306882,0.133333228127,9.05128800011,-0.00784093867901,5.52547137326,7.16902497442,65.1608441825,-130.610661296,906.443427604,2019-10-27 21:57:59,2019-10-27 22:10:59,850,LEO,2019-10-29 00:00:00,
13617--COSMOS 1417,13354--SL-8 R/B,0.0724947106481,2019-10-28 01:44:23.543000,4.21712617615,-4.04194935613,-0.175484262162,-1.18995960508,14.5031898651,0.026498975243,14.3349780203,-2.20232132657,36.4911304666,2.27381877241,1005.72590725,2019-10-27 21:48:30,2019-10-27 20:20:11,975,975,2019-10-29 00:00:00,
13617--COSMOS 1417,12088--SL-8 R/B,0.0734953240741,2019-10-28 01:45:49.996000,2.62969561189,0.392100873885,-0.375220414978,-2.57308483266,14.5266782777,0.0555392258073,14.3760317624,-2.08590698367,31.6052567644,2.78948825296,1006.03708936,2019-10-27 21:48:30,2019-10-27 20:22:37,975,975,2019-10-29 00:00:00,
15077--COSMOS 1577,21153--SL-8 R/B,0.094641400463,2019-10-28 02:16:17.017000,3.24244969545,-2.74766420388,1.31845746999,-1.10701912816,9.45781052343,-0.00894264450746,6.07070612066,7.25235321278,-80.8216495221,80.2530479001,983.512929635,2019-10-27 20:00:49,2019-10-27 21:47:19,975,975,2019-10-29 00:00:00,
8026--METEOR 2-1,13778--DELTA 1 R/B,0.103339606481,2019-10-28 02:28:48.542000,3.00637524812,0.416925054431,0.0349310738833,-2.9771203287,14.8583699642,0.00506486194625,14.8573139452,0.177072504005,-16.3812402423,-35.7286974824,855.881213131,2019-10-27 20:26:30,2019-10-27 21:26:43,850,850,2019-10-29 00:00:00,
17359--COSMOS 1816,21937--COSMOS 2184,0.114885208333,2019-10-28 02:45:26.082000,4.65075861809,-4.49889119575,-0.868866334327,0.796621005054,9.79683706259,0.0234087630037,6.55534288399,7.2804497206,-80.5186321873,-101.822284378,1034.10020949,2019-10-27 20:51:13,2019-10-27 22:32:01,975,975,2019-10-29 00:00:00,
25977--HELIOS 1B,43012--CZ-4C R/B,0.115482650463,2019-10-28 02:46:17.701000,4.8061554757,1.43189307844,0.882682185741,-4.50218667177,14.8636006773,-0.012274166704,14.5867026558,2.85562253645,39.7785013874,-167.52611903,627.180682808,2019-10-28 00:31:23,2019-10-27 23:17:37,615,LEO,2019-10-29 00:00:00,
10355--SL-8 R/B,21088--SL-8 R/B,0.131239768519,2019-10-28 03:08:59.116000,4.12096103646,-2.26639367891,3.31468714106,0.92662220625,3.99973051969,0.027840250432,1.0945047851,-3.84696353323,-82.7159472683,-59.0892717335,1015.92036791,2019-10-27 22:53:35,2019-10-27 22:52:51,975,975,2019-10-29 00:00:00,
4420--SL-3 R/B,7364--SL-3 R/B,0.135796516204,2019-10-28 03:15:32.819000,4.03895605215,1.28785890695,0.600154937253,3.7807934985,14.6106627065,-0.0765315381894,14.4337094734,-2.26575340282,-10.7375482277,-54.3548003245,891.088951616,2019-10-27 21:14:59,2019-10-27 18:46:15,LEO,LEO,2019-10-29 00:00:00,
19922--SL-8 R/B,36520--SL-8 R/B,0.14470912037,2019-10-28 03:28:22.868000,3.57019458644,-3.52084295863,-0.459995252359,-0.371965876816,9.18834769843,0.0100144418574,5.73263167951,-7.18070798497,81.0220262478,-172.739695184,994.161627726,2019-10-28 01:16:05,2019-10-27 22:08:51,975,975,2019-10-29 00:00:00,
10520--COSMOS 968,16682--SL-8 R/B,0.149680324074,2019-10-28 03:35:32.380000,4.93358483545,-0.627362010412,-1.42767920795,4.68064187005,14.2994458976,-0.013213750701,13.6775315905,4.17122379714,-19.6204015876,177.137944327,767.978277173,2019-10-27 22:40:14,2019-10-27 20:29:02,775,775,2019-10-29 00:00:00,
17369--COSMOS 1818,21419--SL-8 R/B,0.159693842593,2019-10-28 03:49:57.548000,0.228572911113,0.221762226428,-0.0531486736344,0.0155662813568,4.41830532929,0.0170116287217,1.31419158073,4.21829741442,63.9056828895,-148.159495983,807.526787959,2019-10-27 22:20:40,2019-10-28 03:18:46,775,775,2019-10-29 00:00:00,
6659--METEOR 1-15,7210--SL-3 R/B,0.175574814815,2019-10-28 04:12:49.664000,4.76273923795,-2.17308937013,0.636949337947,-4.18994787306,14.6880298233,-0.0939849217342,14.5136364223,2.25471610768,6.29916681435,2.19468434314,848.172737183,2019-10-28 00:46:39,2019-10-28 01:42:16,850,LEO,2019-10-29 00:00:00,
16292--SL-8 R/B,23180--SL-8 R/B,0.178558506944,2019-10-28 04:17:07.455000,4.88002383269,-2.77969141241,-3.24972302279,2.35101010942,8.65258265902,-0.0366576946492,5.0918938344,6.99560290925,81.2918471757,34.6907104205,994.467932513,2019-10-27 20:53:50,2019-10-28 04:05:50,975,975,2019-10-29 00:00:00,
13916--COSMOS 1447,15598--SL-8 R/B,0.191121967593,2019-10-28 04:35:12.938000,4.87849658439,4.24171754384,0.378809058072,-2.37992959975,14.5629537244,-0.0312871747228,14.3901421923,2.23661574236,37.1078455534,-104.739770885,980.202647688,2019-10-27 16:44:56,2019-10-27 19:29:58,975,975,2019-10-29 00:00:00,
10352--COSMOS 951,9044--SL-8 R/B,0.19540568287,2019-10-28 04:41:23.051000,4.87855345483,-4.85107879104,-0.104623171534,-0.506332269095,14.4210567541,-0.00644030809705,14.1351877398,-2.85714962676,-52.0755271504,-118.780338164,992.408072348,2019-10-27 17:23:08,2019-10-27 17:17:10,975,975,2019-10-29 00:00:00,
23233--DMSP 5D-2 F12 (USA 106),26536--NOAA 16,0.217702858796,2019-10-28 05:13:29.527000,2.63696069851,-2.3835148798,1.06517395109,0.371245198189,4.88769338967,-0.00154069852997,1.60559492137,-4.61644985309,80.6226281727,144.059020086,855.036343524,2019-10-27 22:01:46,2019-10-27 20:17:21,850,850,2019-10-29 00:00:00,
20478--MOS 1B (MOMO 1B),18961--SL-3 R/B,0.218881828704,2019-10-28 05:15:11.390000,3.53971573091,2.84226806778,-1.9499626912,0.805447198451,5.7506860796,0.0399024417188,2.24500600391,5.29421818814,-79.9127392647,-75.6121917473,934.276634317,2019-10-28 02:15:37,2019-10-28 02:30:58,975,LEO,2019-10-29 00:00:00,
10520--COSMOS 968,16682--SL-8 R/B,0.2193471875,2019-10-28 05:15:51.597000,3.36401865452,-0.642286980767,-0.963935877991,3.15830913075,14.2994774278,-0.0136967566646,13.6775625113,4.17122893861,-19.5993955649,151.868062209,767.952868002,2019-10-27 22:40:14,2019-10-27 20:29:02,775,775,2019-10-29 00:00:00,
17525--COSMOS 1821,10600--SL-8 R/B,0.240975081019,2019-10-28 05:47:00.247000,1.27236656993,-0.424362439744,0.174872331003,1.18669830869,14.5915100916,0.0430221927354,14.4377293682,-2.11241249169,-31.9986950993,-131.100581581,971.725390206,2019-10-27 18:36:03,2019-10-27 17:44:38,975,975,2019-10-29 00:00:00,
21152--NADEZHDA 3,11309--SL-8 R/B,0.24143599537,2019-10-28 05:47:40.070000,3.86648251012,-3.72280224354,0.175016206406,-1.02946577603,14.5096394203,-0.0324384838931,14.2839925268,2.54875290043,-45.8129261104,170.875301297,977.666056516,2019-10-27 14:55:46,2019-10-27 21:43:34,975,975,2019-10-29 00:00:00,
11962--METEOR 2-6,12645--INTERCOSMOS 22,0.24509125,2019-10-28 05:52:55.884000,2.6024663549,0.273768119235,0.781712589471,2.46714563266,14.1804783726,-0.0522483335178,13.5194701733,-4.27868709078,59.7389545377,-21.9568722694,848.15645203,2019-10-28 03:36:58,2019-10-27 21:07:58,850,LEO,2019-10-29 00:00:00,
43264--CZ-4C R/B,21423--SL-14 R/B,0.260873275463,2019-10-28 06:15:39.451000,4.45690822678,2.57653882068,-0.38741968006,3.61599013259,14.9451693043,-0.00408220283735,14.8597496273,1.59559076323,81.8087718971,170.650813007,654.93271322,2019-10-27 20:14:23,2019-10-27 21:45:22,615,615,2019-10-29 00:00:00,
10459--COSMOS 962,13111--SL-8 R/B,0.267214571759,2019-10-28 06:24:47.339000,3.82324771384,-3.67935175655,-0.63708003442,0.820806166362,11.5291226625,0.041448701921,9.01696490099,7.18423937152,78.6789391761,37.8847824496,981.18237757,2019-10-27 21:49:17,2019-10-28 04:28:45,975,975,2019-10-29 00:00:00,
13034--SL-8 R/B,21903--SL-8 R/B,0.268596203704,2019-10-28 06:26:46.712000,1.41025472322,-1.39553630615,0.0589408525639,-0.194480792079,14.0450843016,-0.0304607156554,13.3834307377,4.25995855304,-66.1844321599,-32.4015567763,984.108725142,2019-10-27 22:33:39,2019-10-27 22:31:05,975,975,2019-10-29 00:00:00,
10776--COSMOS 1000,22307--COSMOS 2230,0.286683854167,2019-10-28 06:52:49.485000,2.33582037378,1.72176653152,-1.33885365725,-0.836090733104,7.7711347099,0.00291980172347,4.11959505571,-6.58934463594,-81.7022346835,83.193575482,1034.54581331,2019-10-27 18:02:31,2019-10-26 22:21:21,975,975,2019-10-29 00:00:00,
12442--COSMOS 1269,43012--CZ-4C R/B,0.28840880787,2019-10-28 06:55:18.521000,4.51872170702,-3.54979958964,0.263968818156,-2.7835389708,14.7953437057,0.0430379896595,14.7342929143,1.34199680165,-44.6811074846,-51.0671959451,801.94422131,2019-10-28 00:26:04,2019-10-27 23:17:37,775,LEO,2019-10-29 00:00:00,
10520--COSMOS 968,16682--SL-8 R/B,0.2890140625,2019-10-28 06:56:10.815000,1.83241886473,-0.656816007987,-0.500136568625,1.63591412983,14.2995090107,-0.0141797062357,13.6775936674,4.17123343273,-19.578388051,126.59817872,767.927552169,2019-10-27 22:40:14,2019-10-27 20:29:02,775,775,2019-10-29 00:00:00,
20149--COSMOS 2034,9044--SL-8 R/B,0.291784305556,2019-10-28 07:00:10.164000,4.26319232836,-0.666411123962,1.183788517,4.04095901853,14.1555622778,-0.00827782801754,13.5844013983,-3.98044137326,64.2595590534,-129.82646738,978.402762816,2019-10-27 20:16:16,2019-10-27 17:17:10,975,975,2019-10-29 00:00:00,
17291--SL-14 R/B,20509--SL-8 R/B,0.323217407407,2019-10-28 07:45:25.984000,2.27774734188,1.71225762654,-0.342544618751,1.46252178034,14.3512037884,0.0177275212007,13.9786428446,3.24873515905,-56.0409880782,83.7805953802,977.935736076,2019-10-27 21:37:29,2019-10-27 20:07:59,975,975,2019-10-29 00:00:00,
8591--COSMOS 789,13302--SL-8 R/B,0.323448842593,2019-10-28 07:45:45.980000,2.39725460861,1.96405449285,-0.495721946974,1.28202159065,13.6797222364,0.0300751122211,12.773844108,4.89518157553,-70.0524199129,14.6270121715,1037.59606772,2019-10-28 05:09:50,2019-10-27 15:20:49,975,LEO,2019-10-29 00:00:00,
14973--COSMOS 1553,4784--SL-8 R/B,0.323642222222,2019-10-28 07:46:02.688000,3.31825862974,3.29988974757,0.23343948505,0.258986475591,10.9185938231,0.00144793279697,8.09593013336,-7.32609065275,71.7923125704,-104.168530925,992.623711315,2019-10-27 22:40:07,2019-10-27 18:06:15,975,975,2019-10-29 00:00:00,
18957--COSMOS 1932,16292--SL-8 R/B,0.335433356481,2019-10-28 08:03:01.442000,1.64878428819,0.718222310506,0.518429564369,-1.39063910791,13.8186844846,0.0398343362707,12.9418664838,4.84381523442,37.6302825018,98.8391521101,966.010967307,2019-10-27 21:24:35,2019-10-27 20:53:50,975,975,2019-10-29 00:00:00,
16917--COSMOS 1771,4800--SL-8 R/B,0.337420509259,2019-10-28 08:05:53.132000,3.61117028485,3.18869437679,1.03912911671,1.33902564443,11.6855485505,-0.0390377237732,9.27674339331,-7.10581121309,-54.5678647394,-159.295664106,986.872684056,2019-10-27 22:14:22,2019-10-27 16:42:16,975,975,2019-10-29 00:00:00,
22006--COSMOS 2195,10693--SL-8 R/B,0.337745763889,2019-10-28 08:06:21.234000,2.01398187217,0.612116127916,-0.439268712346,-1.8677472596,14.3442121613,0.0038922863472,13.9631190056,-3.28446571193,57.8383225714,66.6204145194,983.023595557,2019-10-27 21:42:57,2019-10-28 05:04:47,975,975,2019-10-29 00:00:00,
10520--COSMOS 968,16682--SL-8 R/B,0.3586809375,2019-10-28 08:36:30.033000,0.681440077479,-0.670949493214,-0.035731916253,0.113624763637,14.2995406459,-0.014662024189,13.6776250596,4.17123727928,-19.5573767322,101.328294439,767.90232882,2019-10-27 22:40:14,2019-10-27 20:29:02,775,775,2019-10-29 00:00:00,
11680--COSMOS 1153,21875--COSMOS 2180,0.359680694444,2019-10-28 08:37:56.412000,4.95758432616,1.06063958824,4.34789965777,-2.13271061816,6.49148820651,-0.00397121836475,2.85950190447,5.82774846943,-82.1521170011,-64.6679220995,992.476189095,2019-10-27 19:18:04,2019-10-28 04:22:26,975,975,2019-10-29 00:00:00,
10744--COSMOS 996,36520--SL-8 R/B,0.362017337963,2019-10-28 08:41:18.298000,3.80844426875,-0.729224462393,-1.87000482712,-3.23659719121,12.7478640944,0.0160860974461,11.0362977223,-6.38027529129,75.8808917956,86.7752782014,994.460635179,2019-10-27 22:15:23,2019-10-27 22:08:51,975,975,2019-10-29 00:00:00,
