PrimarySatellite,SecondarySatellite,TCA_EpDay,TCA_UTCG,Range,RangeX,RangeY,RangeZ,Velocity,VelocityX,VelocityY,VelocityZ,Latitude,Longitude,Altitude,PrimaryAge,SecondaryAge,PrimaryCluster,SecondaryCluster,DateGenerated
20577--COSMOS 2074,5847--SL-8 R/B,0.0015683912037,2020-04-02 00:02:15.509000,2.2472292372,1.23148385419,0.40074664682,1.83654264488,14.3598272123,0.0288738059571,14.0254434795,-3.08070431475,21.7823650508,-29.3749499663,991.57205,2020-04-01 23:19:43,2020-04-01 15:46:32,975,975,2020-04-03 00:00:00,
25730--FENGYUN 1C,37842--PSLV R/B,0.00321482638889,2020-04-02 00:04:37.761000,1.45595166632,0.956523652648,-0.846730128649,0.698502573955,9.47000898343,0.032828044717,6.04823170988,7.28689821868,1.31363562064,-90.094010089,849.771285446,2020-04-01 02:14:13,2020-04-01 10:34:41,850,LEO,2020-04-03 00:00:00,
39093--PSLV R/B,11112--SL-8 R/B,0.00550422453704,2020-04-02 00:07:55.565000,4.82302907902,1.2201692021,2.45970873133,-3.9651771174,12.6607812812,0.0362519577162,10.7537883159,6.68207342844,-74.007708802,172.57197469,792.92054651,2020-04-01 22:49:37,2020-04-01 06:09:56,775,775,2020-04-03 00:00:00,
6019--COSMOS 489,13034--SL-8 R/B,0.0158413657407,2020-04-02 00:22:48.694000,4.75915241526,2.79252823673,1.5748006063,-3.51728884357,13.4194073672,-0.00270205646101,12.2489920822,5.48112030137,60.5126530574,-28.476530192,1003.19522615,2020-04-01 21:24:34,2020-04-01 23:51:31,975,975,2020-04-03 00:00:00,
8597--SL-8 R/B,13917--SL-8 R/B,0.016292962963,2020-04-02 00:23:27.712000,4.4288396733,4.40824430801,-0.0477714843292,-0.423934969072,14.6049481632,-0.0202018400579,14.488815085,-1.83802616141,13.362167059,14.0557686628,984.037956344,2020-04-01 02:40:55,2020-04-01 21:25:46,975,975,2020-04-03 00:00:00,
27431--FENGYUN 1D,22803--SL-16 R/B,0.0199488310185,2020-04-02 00:28:43.579000,4.69955897528,4.47812286422,0.164780033161,1.41602179211,14.756255156,0.0109265425966,14.6528776058,-1.74359533949,41.7914907269,80.1950415595,855.732314053,2020-04-01 23:49:45,2020-04-01 20:52:46,850,850,2020-04-03 00:00:00,
23533--DMSP 5D-2 F13 (USA 109),17974--SL-16 R/B,0.0296325462963,2020-04-02 00:42:40.252000,1.97367282915,1.12727177315,-0.158595569276,1.61229346938,14.7898605013,-0.0126519975343,14.7179706399,1.4564181473,25.0081795921,-109.605518159,844.369979655,2020-04-01 23:08:21,2020-04-01 22:47:14,850,850,2020-04-03 00:00:00,
10776--COSMOS 1000,15359--COSMOS 1605,0.0350622106481,2020-04-02 00:50:29.375000,4.28868436132,0.63057092038,0.779963644804,4.16975425873,14.4379930186,0.0629000977468,14.1900236692,-2.66362802413,48.3199274352,-162.474673461,1005.65189008,2020-04-01 04:05:20,2020-04-01 21:23:47,975,975,2020-04-03 00:00:00,
7714--METEOR 1-21,13719--SL-3 R/B,0.0362480787037,2020-04-02 00:52:11.834000,2.23969595085,1.83822835853,-0.280108106182,1.24847663293,14.4949224504,0.0640835648996,14.1627307482,3.08475734771,-44.4712781328,66.0111799474,870.548727861,2020-04-01 01:12:22,2020-04-02 00:03:06,850,LEO,2020-04-03 00:00:00,
14372--COSMOS 1500,16611--COSMOS 1733,0.0372213310185,2020-04-02 00:53:35.923000,3.66850163772,-2.79421738744,2.1272056296,-1.06077785943,6.79248549346,0.0116894235297,3.04312090395,6.07265491364,-81.6465113834,147.650990564,546.753710278,2020-04-01 23:58:52,2020-04-01 23:43:24,615,615,2020-04-03 00:00:00,
20465--COSMOS 2058,12904--SL-3 R/B,0.0429733449074,2020-04-02 01:01:52.897000,4.63254087563,-3.67940549086,-0.697815164514,2.72680475912,14.6854083279,-0.0252046616474,14.2349105767,3.60941870041,54.854933477,151.296225936,573.466433579,2020-04-01 18:22:21,2020-04-02 00:28:49,615,615,2020-04-03 00:00:00,
24678--SL-8 R/B,18402--COSMOS 1891,0.0613746759259,2020-04-02 01:28:22.772000,4.70711606284,-4.70652069148,0.0629715794071,0.0404869096708,5.24872699714,-0.0171036476974,1.87688015327,-4.90164905374,82.466518826,-47.9842768995,1000.52362117,2020-04-01 23:34:45,2020-04-01 23:18:13,975,LEO,2020-04-03 00:00:00,
16494--SL-8 R/B,22488--SL-8 R/B,0.067748125,2020-04-02 01:37:33.438000,4.45567415556,1.3600652804,4.23638635355,0.237245183279,0.795402261125,0.00197672919163,0.0438410785058,-0.794190663115,82.9643118296,-89.5715418296,1003.24446436,2020-04-01 21:50:57,2020-04-01 23:47:11,975,975,2020-04-03 00:00:00,
9481--METEOR 1-26,13777--IRAS,0.0703382407407,2020-04-02 01:41:17.224000,3.94344650327,-2.98669040251,-0.000809802336404,2.57496604015,14.8302742146,-0.0301928457629,14.8302126009,-0.0302636056553,48.4363641167,-108.659231898,882.068522783,2020-04-01 11:49:43,2020-04-01 18:12:28,850,LEO,2020-04-03 00:00:00,
5680--OPS 7898 (P/L 2),36414--YAOGAN 9B,0.0774376041667,2020-04-02 01:51:30.609000,4.79379691099,1.909757719,3.43852963801,2.74040657696,9.38124931706,-0.223217146205,5.92041907407,-7.27369581725,58.9289857268,-75.4390540599,988.961756537,2020-04-01 02:35:56,2020-04-01 00:32:19,975,LEO,2020-04-03 00:00:00,
21230--COSMOS 2142,7477--SL-8 R/B,0.0803552430556,2020-04-02 01:55:42.693000,1.61039137067,1.57802757964,-0.209870034764,0.243195174931,11.3140073071,0.0331173928744,8.67456250604,7.26344476903,79.032896191,-70.2424794085,980.925823326,2020-04-01 19:22:40,2020-04-01 05:16:25,975,975,2020-04-03 00:00:00,
5680--OPS 7898 (P/L 2),10777--SL-8 R/B,0.095562974537,2020-04-02 02:17:36.641000,3.93458831006,-1.8422685007,0.881877397018,3.36293386757,14.2273321963,-0.00435612282189,13.7618660774,-3.60943271353,-22.8619979691,-36.2776649627,988.653802255,2020-04-01 02:35:56,2020-04-01 20:00:19,975,975,2020-04-03 00:00:00,
16881--COSMOS 1766,43682--H-2A R/B,0.0996541203704,2020-04-02 02:23:30.116000,4.60740875509,0.765006455714,0.154237202888,-4.54083598519,15.2050011896,-0.0316698816014,15.1964031427,0.510283957353,66.7019598798,40.7871610852,541.631900462,2020-04-01 06:49:24,2020-04-01 13:18:30,615,615,2020-04-03 00:00:00,
12803--COSMOS 1304,20670--METEOR 2-19,0.122019398148,2020-04-02 02:55:42.476000,3.6027606946,-1.3555440858,3.13616084571,-1.14318852507,5.00773272543,-0.045071271858,1.69764609928,4.71098220666,82.3008573863,152.572891519,964.591522054,2020-04-02 02:30:30,2020-04-02 00:45:05,975,975,2020-04-03 00:00:00,
9610--COSMOS 883,11750--COSMOS 1171,0.123360277778,2020-04-02 02:57:38.328000,3.38913668351,3.18897592105,-0.394347839494,1.07757589802,13.7946300841,-0.00877289020873,12.9475066749,4.75960219946,-38.3444736631,-95.8272857388,1002.37955303,2020-04-01 04:27:42,2020-04-02 00:55:29,975,975,2020-04-03 00:00:00,
10520--COSMOS 968,20443--ARIANE 40 R/B,0.12759525463,2020-04-02 03:03:44.230000,2.12921833987,-2.12786674008,-0.00306942528554,-0.0757921760134,14.8555309012,0.0311153552206,14.774229718,-1.55176236264,50.4577690592,-92.2953141201,777.162544844,2020-04-02 02:28:31,2020-04-01 21:48:56,775,775,2020-04-03 00:00:00,
24678--SL-8 R/B,18402--COSMOS 1891,0.13421380787,2020-04-02 03:13:16.073000,4.99044196202,-4.77812504539,-1.34997775966,-0.50158954863,5.24863573593,-0.0156677503374,1.87689882045,-4.9015489825,82.4687702669,-74.3765008063,1000.58612591,2020-04-01 23:34:45,2020-04-02 02:47:59,975,LEO,2020-04-03 00:00:00,
8924--SL-8 R/B,10121--SL-8 R/B,0.13646587963,2020-04-02 03:16:30.652000,4.09887297628,-1.43623547279,3.71334888684,-0.974180366756,3.74616054595,-0.0261750095875,0.941189925819,3.62590612515,-73.5887319935,75.799216707,799.623273936,2020-04-01 06:39:38,2020-04-02 00:22:14,775,775,2020-04-03 00:00:00,
7594--SL-8 R/B,10537--SL-8 R/B,0.137960844907,2020-04-02 03:18:39.817000,3.90294640731,-3.80196252434,0.146539122632,0.869826366213,14.5053625623,0.0157594635233,14.3148951589,-2.34287671327,-40.611206031,-166.53912036,994.437271625,2020-04-01 23:18:45,2020-04-01 17:52:10,975,975,2020-04-03 00:00:00,
11165--COSMOS 1066,31123--SL-24 R/B,0.139435868056,2020-04-02 03:20:47.259000,3.42997665987,1.95548847843,0.0876737357699,-2.81657913328,14.7833701883,-0.264866754689,14.7783826023,0.278006092393,-67.8704200755,47.2403288324,897.118681101,2020-04-02 01:58:25,2020-04-02 02:28:57,850,LEO,2020-04-03 00:00:00,
23404--COSMOS 2297,28654--NOAA 18,0.14784337963,2020-04-02 03:32:53.668000,2.63555465195,-1.57826754316,-0.266650319665,-2.09382842961,14.6990779632,0.0104108405412,14.5803864815,-1.86416593489,-45.225005984,-86.1709532618,874.174171037,2020-04-02 00:46:23,2020-04-01 03:57:50,850,850,2020-04-03 00:00:00,
9610--COSMOS 883,16510--COSMOS 1727,0.15009150463,2020-04-02 03:36:07.906000,4.00486904693,-2.51730324682,2.64169905472,1.650329225,7.83260899712,0.00243771908129,4.15168643734,-6.64178119824,81.714820217,22.461706894,966.534278021,2020-04-02 03:08:51,2020-04-02 02:16:27,975,975,2020-04-03 00:00:00,
18312--METEOR 2-16,12092--SL-8 R/B,0.161720127315,2020-04-02 03:52:52.619000,0.817847787033,-0.817814806485,0.00592110455338,-0.0043457529945,10.2647302027,0.0129386115032,7.13401721421,7.38040087764,79.92855728,92.6507105097,967.479549361,2020-04-02 01:44:49,2020-04-01 21:00:38,975,975,2020-04-03 00:00:00,
17912--SL-14 R/B,16613--SPOT 1,0.166426712963,2020-04-02 03:59:39.268000,4.38388189349,2.01812809433,3.62762848549,1.40921645682,5.48066644132,0.0636074276671,1.95386416524,-5.12016343098,67.2462832976,-59.4069466464,620.085834951,2020-04-01 22:49:46,2020-04-02 02:48:47,615,LEO,2020-04-03 00:00:00,
12804--SL-8 R/B,7615--LANDSAT 2,0.169625543981,2020-04-02 04:04:15.647000,4.06882758119,4.0216215697,0.0814861361066,0.612599253336,14.7094100372,-0.0194918495589,14.5978581214,-1.8080105023,79.5669169691,78.4696703071,915.642605782,2020-04-02 00:44:09,2020-04-02 00:10:33,975,LEO,2020-04-03 00:00:00,
7714--METEOR 1-21,6660--SL-3 R/B,0.187030347222,2020-04-02 04:29:19.422000,4.77292714036,2.52712616808,-0.613302639234,4.00229018069,14.6634627,-0.0284878212039,14.4915287002,2.23873239309,-1.05736629656,19.9586373255,871.406062279,2020-04-02 01:04:58,2020-04-02 00:13:10,850,LEO,2020-04-03 00:00:00,
10692--COSMOS 991,12092--SL-8 R/B,0.195176493056,2020-04-02 04:41:03.249000,3.46641640701,1.43815629421,-2.31522030025,2.14184596587,9.96346671906,0.00842504806472,6.76832970853,7.31165583415,-80.4521097444,171.339092203,1020.45470988,2020-04-02 03:38:26,2020-04-01 21:00:38,975,975,2020-04-03 00:00:00,
32792--RUBIN 8/PSLV,21891--DELTA 2 R/B(1),0.199847708333,2020-04-02 04:47:46.842000,3.27621124969,0.883095714896,2.01288694591,-2.42940080141,11.5784116921,-0.0131596551239,8.91840220873,7.38387067721,-19.9418292505,156.977073379,654.688199266,2020-04-02 03:15:50,2020-04-01 13:05:14,615,615,2020-04-03 00:00:00,
21902--COSMOS 2181,13260--SL-8 R/B,0.207083946759,2020-04-02 04:58:12.053000,3.70158386396,-2.62988467599,1.74172332086,1.93696400753,10.8844350774,-0.0273850119204,8.07484161989,-7.29843201166,63.919453217,79.761620815,1017.3566752,2020-04-02 04:29:36,2020-04-01 22:05:20,975,975,2020-04-03 00:00:00,
11165--COSMOS 1066,31123--SL-24 R/B,0.210293993056,2020-04-02 05:02:49.401000,3.64952465338,0.575599797938,-0.0537589966997,3.60344627246,14.7823206171,-0.264627671477,14.7776239076,0.262310250786,-67.9722324808,21.4729908033,897.097169719,2020-04-02 01:58:25,2020-04-02 02:28:57,850,LEO,2020-04-03 00:00:00,
12835--COSMOS 1308,7009--SL-8 R/B,0.21487181713,2020-04-02 05:09:24.925000,3.06384725758,2.97687946374,0.17545333359,-0.703253015565,14.2562112454,0.0126052854218,13.8195687627,3.5012739672,60.0792059419,164.838742433,999.441374121,2020-04-02 04:54:43,2020-04-01 05:00:36,975,975,2020-04-03 00:00:00,
6148--COSMOS 514,11326--COSMOS 1092,0.224903622685,2020-04-02 05:23:51.673000,4.19668504219,-1.75849133756,-2.57549071468,2.80833066743,10.8416529327,0.0146497568529,7.98559507135,7.33290495328,-79.6191242853,-124.878537968,993.147139387,2020-04-02 01:24:36,2020-04-01 23:24:32,975,975,2020-04-03 00:00:00,
15332--SL-14 R/B,23343--SL-16 R/B,0.224989664352,2020-04-02 05:23:59.107000,4.74162131063,-4.72841031737,-0.0404991880946,0.351380619543,14.9928230516,-0.00981034406506,14.9074896916,1.59730958443,81.8627662914,156.780662041,644.19230104,2020-04-01 20:56:03,2020-04-02 03:38:15,615,615,2020-04-03 00:00:00,
10536--COSMOS 971,20578--SL-8 R/B,0.228341782407,2020-04-02 05:28:48.730000,4.64608467796,2.49625678734,0.830220514973,3.82956117368,14.3774433826,0.018820236924,14.0480910551,-3.05968327237,-54.9345516623,39.3507660726,996.537331964,2020-04-01 20:25:51,2020-04-01 21:04:51,975,975,2020-04-03 00:00:00,
10676--COSMOS 990,36600--BPA 1/SL-24 R/B,0.229346446759,2020-04-02 05:30:15.533000,3.07510740438,2.0234210825,0.802590837608,2.17207288523,14.150225711,-0.157662720226,13.319636465,-4.77402498736,-72.8882444357,-30.3415568784,798.773662606,2020-04-02 02:36:38,2020-04-01 23:25:44,775,LEO,2020-04-03 00:00:00,
7593--COSMOS 700,23092--COSMOS 2279,0.232097303241,2020-04-02 05:34:13.207000,4.61485864779,4.58393394323,-0.084711036329,0.526587109104,14.4673202905,-0.0207859129497,14.2560008338,2.46360803714,-44.0110629386,9.03192637831,1008.61320629,2020-04-02 01:05:32,2020-04-01 23:15:15,975,975,2020-04-03 00:00:00,
5105--COSMOS 402,9634--COSMOS 886,0.234698935185,2020-04-02 05:37:57.988000,3.82103830342,3.55275887083,-0.867893147149,-1.10679700353,12.8769379489,0.689848454905,11.0997650112,-6.49113678375,33.6319480279,140.313844501,1023.44508732,2020-04-01 22:47:28,2020-04-01 23:42:37,LEO,HIGH,2020-04-03 00:00:00,
10515--SL-3 R/B,21689--SL-3 R/B,0.235181319444,2020-04-02 05:38:39.666000,1.89426871118,-0.107146032624,-0.251556391082,1.87443139643,14.6845946762,0.00879057743199,14.5543284461,1.9516062647,80.7491556199,-158.374268094,895.376428361,2020-04-02 05:12:05,2020-04-02 03:30:22,850,LEO,2020-04-03 00:00:00,
