PrimarySatellite,SecondarySatellite,TCA_EpDay,TCA_UTCG,Range,RangeX,RangeY,RangeZ,Velocity,VelocityX,VelocityY,VelocityZ,Latitude,Longitude,Altitude,PrimaryAge,SecondaryAge,PrimaryCluster,SecondaryCluster,DateGenerated
18821--SL-14 R/B,25774--DELTA 2 R/B,0.000803020833333,2020-03-30 00:01:09.381000,3.22944476877,2.99031558882,-0.504119659199,1.11049068567,13.2267954094,-0.248452036382,11.7782479089,6.01325740225,-29.0861359732,140.491169756,947.509783145,2020-03-29 18:57:30,2020-03-29 20:13:50,975,LEO,2020-03-31 00:00:00,
20788--FENGYUN 1B,7714--METEOR 1-21,0.00722655092593,2020-03-30 00:10:24.374000,2.65097844034,-2.63009841348,0.00437543497498,-0.332038976781,14.8056873395,-0.012561468559,14.8026158149,0.301305228649,81.2516441976,179.389223878,897.49255181,2020-03-29 22:02:01,2020-03-29 15:13:11,850,850,2020-03-31 00:00:00,
14373--SL-14 R/B,28499--ARIANE 5 R/B,0.0102826388889,2020-03-30 00:14:48.420000,4.60801251677,0.551767625517,0.105189263793,4.57364920615,15.1306021222,0.0497670530545,15.1263621603,-0.35469933031,75.8617594612,-146.238146387,617.426867487,2020-03-29 20:56:05,2020-03-29 21:02:47,615,LEO,2020-03-31 00:00:00,
5238--COSMOS 422,11668--SL-8 R/B,0.013618912037,2020-03-30 00:19:36.674000,3.73666181886,3.47091768326,1.27452304344,0.539409859279,5.80342673057,-0.0119194045153,2.2890140945,-5.33291985877,73.1971531889,-156.459206661,994.443901254,2020-03-29 20:46:40,2020-03-29 17:16:50,975,975,2020-03-31 00:00:00,
16493--COSMOS 1725,25893--SL-8 R/B,0.0213721527778,2020-03-30 00:30:46.554000,4.64589051072,1.74201011428,-3.33962726151,-2.71966710343,9.247718701,-0.0194530126296,5.83326291136,-7.17585998749,-80.9080131084,101.374136355,1024.27393476,2020-03-29 17:05:16,2020-03-29 20:00:44,975,975,2020-03-31 00:00:00,
15077--COSMOS 1577,9510--SL-8 R/B,0.0214157291667,2020-03-30 00:30:50.319000,4.73273569891,-1.92847694849,2.86393647636,3.23691700764,11.0234617931,-0.00053654612328,8.25576113671,-7.30473255298,-79.3989283083,111.588297559,990.465975379,2020-03-29 18:50:58,2020-03-29 19:40:56,975,975,2020-03-31 00:00:00,
10745--SL-8 R/B,21131--SL-8 R/B,0.0335314930556,2020-03-30 00:48:17.121000,2.94562845237,2.84635579301,-0.157799244285,-0.741677205709,14.4418789251,-0.0283616455121,14.1030569356,-3.10979863923,54.987196092,-76.8517953982,951.537444681,2020-03-29 20:46:30,2020-03-29 19:19:13,975,975,2020-03-31 00:00:00,
8646--SL-8 R/B,22308--SL-8 R/B,0.0439373032407,2020-03-30 01:03:16.183000,4.14446534572,1.47004203615,0.582682084888,-3.8309334374,14.5564490067,0.000395347135245,14.3910514349,2.18811474217,35.5482407861,104.561312492,987.343892724,2020-03-29 21:26:52,2020-03-29 16:21:15,975,975,2020-03-31 00:00:00,
17974--SL-16 R/B,13718--METEOR 2-9,0.0575304513889,2020-03-30 01:22:50.631000,4.12717628147,2.75690632863,1.48857791768,2.68648233503,13.011144846,-0.0324193617141,11.3941130712,-6.28196040336,59.8114670599,-137.306658539,855.523049905,2020-03-29 21:54:51,2020-03-30 01:05:44,850,LEO,2020-03-31 00:00:00,
23828--PSLV R/B,8027--SL-3 R/B,0.0613207523148,2020-03-30 01:28:18.113000,2.13058668676,0.505301931125,1.03853873903,-1.79039293893,12.8673208286,-0.0233143533852,11.1336684175,6.45049062595,-79.909368379,-112.697387071,856.993175279,2020-03-29 20:48:13,2020-03-29 17:20:22,LEO,LEO,2020-03-31 00:00:00,
13034--SL-8 R/B,17240--SL-8 R/B,0.0635803472222,2020-03-30 01:31:33.342000,4.29350760897,-3.59490172827,-2.33145430374,0.274244383528,1.53162229615,0.012063827395,0.160541529656,1.52313746569,-82.9377324386,68.1032347206,989.117564839,2020-03-29 21:02:18,2020-03-29 21:01:33,975,975,2020-03-31 00:00:00,
15172--SL-14 R/B,38737--BREEZE-KM R/B,0.072722662037,2020-03-30 01:44:43.238000,2.61226901933,-2.47369617047,0.121394206838,0.830686542617,14.0214862139,0.0549353975337,13.8963937378,-1.86796649669,14.2044121133,65.55262792,1501.39371902,2020-03-29 19:59:01,2020-03-29 23:47:40,1500,LEO,2020-03-31 00:00:00,
10358--COSMOS 952,21087--INFORMATOR 1,0.0729398842593,2020-03-30 01:45:02.006000,3.01766517108,-2.734949076,0.840862860678,0.958804613023,11.2003500895,0.0521443636583,8.49472132247,-7.29964606997,62.4733038533,167.186777031,965.208598945,2020-03-29 20:03:27,2020-03-29 20:30:06,975,975,2020-03-31 00:00:00,
23533--DMSP 5D-2 F13 (USA 109),25637--DELTA 2 R/B,0.0746937037037,2020-03-30 01:47:33.536000,1.01822826043,0.677005629808,0.728321389411,0.219089299782,4.16575268472,-0.0233473434152,1.21986469761,-3.98307424628,81.0552620018,136.794307725,849.585060052,2020-03-29 23:56:20,2020-03-29 15:53:18,850,LEO,2020-03-31 00:00:00,
21937--COSMOS 2184,12092--SL-8 R/B,0.0764495486111,2020-03-30 01:50:05.241000,3.12119326575,-3.06259305132,0.181751378727,0.573879465172,13.9323708227,-0.0323285740454,13.2324851758,-4.36018894954,-67.0090643615,-24.2941431782,1017.66674337,2020-03-29 19:41:07,2020-03-29 21:30:56,975,975,2020-03-31 00:00:00,
20788--FENGYUN 1B,7714--METEOR 1-21,0.0784248263889,2020-03-30 01:52:55.905000,3.92315907977,-2.5430068032,-0.0590364580523,2.98677221439,14.8059321104,-0.0124753592751,14.8032092929,0.283662924036,81.2190392081,158.110337322,897.584143818,2020-03-29 22:02:01,2020-03-30 01:27:10,850,850,2020-03-31 00:00:00,
17192--SL-14 R/B,19211--SL-14 R/B,0.0792049421296,2020-03-30 01:54:03.307000,3.16846707011,0.560344049648,-2.82329287683,1.3244679883,6.4147112554,-0.00263184320248,2.72383902344,5.80768581604,81.7686973947,-129.731514571,631.833780136,2020-03-29 20:54:49,2020-03-29 17:39:01,615,615,2020-03-31 00:00:00,
13243--COSMOS 1372,7715--SL-3 R/B,0.0843256134259,2020-03-30 02:01:25.733000,4.92324646472,4.43495154536,-1.60567368671,-1.41116000314,9.66954557908,-0.0254061589548,6.34466384145,-7.29689707834,-64.384510694,86.2426930425,928.841865838,2020-03-29 21:17:13,2020-03-29 21:13:03,975,LEO,2020-03-31 00:00:00,
20508--NADEZHDA 2,22308--SL-8 R/B,0.0854661226852,2020-03-30 02:03:04.273000,4.75376600243,4.53132560171,-0.168766701663,-1.42719910928,14.5913430388,-0.033847591787,14.4775596386,-1.81835445597,-9.83726376939,-86.6788675424,993.606075764,2020-03-29 21:41:21,2020-03-29 16:21:15,975,975,2020-03-31 00:00:00,
5683--COSMOS 465,7005--COSMOS 626,0.0979609143519,2020-03-30 02:21:03.823000,3.81801098621,3.56889299158,-1.34701602221,-0.160494677165,2.11513941482,0.0270276390706,0.320666035576,-2.09051609525,53.2954012046,48.902923379,1003.23591925,2020-03-29 19:36:10,2020-03-29 20:34:49,975,975,2020-03-31 00:00:00,
12785--COSMOS 1300,43101--CZ-2D R/B,0.1034803125,2020-03-30 02:29:00.699000,4.8859440632,0.205883203371,-4.73963217309,-1.16873793433,3.65933641362,-0.00226316283252,0.876091467903,-3.55291452275,57.2277111281,-66.2988915632,521.822794526,2020-03-29 14:04:18,2020-03-29 18:18:22,615,615,2020-03-31 00:00:00,
23533--DMSP 5D-2 F13 (USA 109),31114--CZ-2C R/B,0.114584780093,2020-03-30 02:45:00.125000,3.51411814378,3.50164227189,-0.0886483837872,-0.282257315611,13.9793175563,-0.0418655818928,13.1797256015,-4.65987120894,-63.6654543578,-117.916733581,868.127140165,2020-03-29 23:56:20,2020-03-30 01:36:20,850,LEO,2020-03-31 00:00:00,
26086--DUMSAT,28651--PSLV R/B,0.117932534722,2020-03-30 02:49:49.371000,0.879642095788,-0.879235445862,0.0231898430752,0.0133221094905,8.04638730025,0.00924677190811,4.24941318457,-6.832770351,56.3483009763,126.9653605,605.511467511,2020-03-29 23:19:20,2020-03-30 02:34:32,615,LEO,2020-03-31 00:00:00,
14084--COSMOS 1464,7009--SL-8 R/B,0.136233599537,2020-03-30 03:16:10.583000,3.98969831663,-3.1475558439,-0.310223411353,-2.43194290687,14.620041175,-0.0155292603083,14.5050168133,-1.83025955695,-11.4027999617,29.3671933355,973.681854004,2020-03-30 02:40:07,2020-03-30 00:23:48,975,975,2020-03-31 00:00:00,
19769--COSMOS 1992,37215--CZ-4C R/B,0.138172453704,2020-03-30 03:18:58.100000,4.94722373427,-3.97484722884,-1.33693853218,-2.62453949207,13.2639448023,0.050891415168,11.7874346526,-6.08161377379,74.1192250377,-58.376272873,777.038900929,2020-03-30 02:53:46,2020-03-29 20:18:58,775,775,2020-03-31 00:00:00,
20432--COSMOS 2056,10121--SL-8 R/B,0.139499837963,2020-03-30 03:20:52.786000,4.85080590025,-4.82301296279,-0.439327352292,0.275418445742,7.97060249303,-0.00409482187656,4.26548814094,6.73320861505,-71.1134053158,64.3736752373,792.775055663,2020-03-30 02:02:35,2020-03-29 22:48:00,775,775,2020-03-31 00:00:00,
4783--COSMOS 381,12149--COSMOS 1241,0.150789398148,2020-03-30 03:37:08.204000,4.0790511378,4.07767648911,-0.0586982466568,-0.0881314404715,12.8651574199,0.0272072789853,11.2658130138,-6.21232583986,44.6447577443,99.0245437649,1010.42124531,2020-03-29 13:00:08,2020-03-30 00:21:44,975,975,2020-03-31 00:00:00,
10358--COSMOS 952,12835--COSMOS 1308,0.153736388889,2020-03-30 03:41:22.824000,4.06800222272,-2.27359534995,-1.10268816266,-3.18802212738,13.9075184015,0.0189582899464,13.1392427336,-4.55839983544,31.9862106421,-175.860199347,978.636884659,2020-03-29 20:03:27,2020-03-29 22:32:59,975,975,2020-03-31 00:00:00,
25730--FENGYUN 1C,23405--SL-16 R/B,0.161961284722,2020-03-30 03:53:13.455000,3.40761501243,-1.8495080406,-1.02068986613,2.67382727151,13.8656948546,0.00702568057299,12.9521205611,4.94974922703,-69.6424848913,-121.776820996,862.17429702,2020-03-29 23:26:07,2020-03-29 19:51:58,850,850,2020-03-31 00:00:00,
12681--COSMOS 1295,12783--COSMOS 1299,0.17080568287,2020-03-30 04:05:57.611000,3.24391549191,-2.66023586185,0.511816834455,1.78442607187,14.1841271345,-0.00346840783181,13.6324955757,-3.91720754093,5.60529045214,-57.8255278359,952.481509617,2020-03-29 20:34:15,2020-03-30 00:36:16,975,975,2020-03-31 00:00:00,
9482--SL-3 R/B,25400--SL-16 R/B,0.181521435185,2020-03-30 04:21:23.452000,2.41807897756,2.08999068281,-0.000651322425706,1.21615971948,14.9084570469,0.0142191488014,14.9084394365,-0.017969459707,-19.3352339833,137.26314874,821.666738947,2020-03-29 20:35:16,2020-03-30 02:45:47,LEO,LEO,2020-03-31 00:00:00,
14973--COSMOS 1553,7616--DELTA 1 R/B,0.189535335648,2020-03-30 04:32:55.853000,3.65184467876,3.6475416814,0.122580411965,-0.127997198732,7.13904939457,0.101040538631,3.50028809672,6.22123784368,74.6914543787,33.5778984596,970.777007462,2020-03-29 14:36:38,2020-03-29 22:54:55,975,LEO,2020-03-31 00:00:00,
8073--SL-8 R/B,15598--SL-8 R/B,0.194910752315,2020-03-30 04:40:40.289000,3.57656808892,-2.92442134036,0.698675750369,1.93686636467,13.8737012294,0.0118952229063,13.0567616947,-4.69046035619,68.6920798971,-168.581034635,979.836782625,2020-03-30 01:11:14,2020-03-29 21:39:06,975,975,2020-03-31 00:00:00,
38771--METOP-B,31699--SL-24 R/B,0.195903923611,2020-03-30 04:42:06.099000,3.85080470969,0.87642355345,1.02820968058,-3.60601768158,14.2698122439,-0.247793171976,13.7362645073,3.85761291529,-58.9685098598,57.4559787115,842.973062339,2020-03-30 03:51:16,2020-03-30 03:51:45,850,LEO,2020-03-31 00:00:00,
7476--COSMOS 689,21089--COSMOS 2123,0.195912407407,2020-03-30 04:42:06.832000,4.70893445088,1.30684878795,0.635946811906,-4.47903801731,14.5891200749,-0.018604233653,14.444882897,2.04632268579,-28.788222057,148.118283789,982.86436069,2020-03-30 03:09:01,2020-03-30 02:47:04,975,975,2020-03-31 00:00:00,
