PrimarySatellite,SecondarySatellite,TCA_EpDay,TCA_UTCG,Range,RangeX,RangeY,RangeZ,Velocity,VelocityX,VelocityY,VelocityZ,Latitude,Longitude,Altitude,PrimaryAge,SecondaryAge,PrimaryCluster,SecondaryCluster,DateGenerated
15597--COSMOS 1634,13111--SL-8 R/B,0.00731689814815,2020-02-06 00:10:32.180000,4.98969513385,3.20172171768,0.49322249034,-3.79509777823,14.6221455662,-0.00922723143385,14.5009729242,1.8785207128,-16.8238270299,-2.50920688215,973.568113118,2020-02-05 13:49:47,2020-02-05 16:37:45,975,975,2020-02-07 00:00:00,
13718--METEOR 2-9,9482--SL-3 R/B,0.0181855439815,2020-02-06 00:26:11.231000,1.74645875538,0.700474408265,-0.468109694117,1.52981276694,14.1345951295,0.048617865519,13.5216275928,4.11703813681,-58.6628306562,-48.6593253845,902.503720232,2020-02-05 12:50:40,2020-02-05 13:03:38,LEO,LEO,2020-02-07 00:00:00,
11585--COSMOS 1141,23180--SL-8 R/B,0.0187911921296,2020-02-06 00:27:03.559000,0.661465414155,0.482955359667,0.055566841368,0.448556507959,14.6545921749,0.0333821289103,14.5400671004,-1.82822486665,10.4801944871,152.726295715,955.292134141,2020-02-05 08:16:00,2020-02-05 19:41:20,975,975,2020-02-07 00:00:00,
12786--SL-14 R/B,13272--SL-14 R/B,0.0260632175926,2020-02-06 00:37:31.862000,3.47761809352,-0.777308745717,0.474703004434,3.35622939857,14.932991412,0.0215866361605,14.7865480413,-2.08608809778,21.0089992504,171.355399539,627.627661459,2020-02-05 12:35:23,2020-02-05 14:49:32,615,615,2020-02-07 00:00:00,
6019--COSMOS 489,7297--COSMOS 654,0.0333236111111,2020-02-06 00:47:59.160000,1.70883866653,1.2158053953,-0.980204100494,0.693647425112,8.44453209051,-0.0319382762163,4.85305153464,6.91064345603,63.6386127098,118.361334374,997.461915998,2020-02-05 21:27:06,2020-02-05 13:56:20,975,975,2020-02-07 00:00:00,
426--THOR AGENA B R/B,5681--OPS 7898 (P/L 3),0.050086712963,2020-02-06 01:12:07.492000,3.44944188309,3.31418353671,0.762304676239,0.57769228004,8.82025827634,0.0127976715804,5.290234816,-7.05763472224,69.624881962,41.7227774406,1003.49183242,2020-02-05 18:29:52,2020-02-05 12:33:35,975,975,2020-02-07 00:00:00,
28352--COSMOS 2406,28654--NOAA 18,0.0546073263889,2020-02-06 01:18:38.073000,4.33550668723,-1.73060481753,-0.342145408912,-3.96037393685,14.7894839035,0.0161965091211,14.7339955441,-1.27982307877,-0.34342204681,-63.1678463549,856.650085464,2020-02-05 09:09:19,2020-02-05 21:54:43,850,850,2020-02-07 00:00:00,
9846--COSMOS 894,10537--SL-8 R/B,0.0687322685185,2020-02-06 01:38:58.468000,3.83954141085,-1.16471338686,2.2115136777,2.91457170532,11.7143425839,-0.00784284760807,9.33046592585,-7.08294898105,78.3149110549,-1.92892765125,1001.30239599,2020-02-05 21:56:31,2020-02-05 11:20:21,975,975,2020-02-07 00:00:00,
16736--SL-14 R/B,21131--SL-8 R/B,0.0723237962963,2020-02-06 01:44:08.776000,3.83097392635,1.32420048841,0.511950243088,-3.55819634639,14.6142970698,-0.0447450168532,14.4678317503,2.06337615883,-25.6062119556,174.792253419,952.651257498,2020-02-05 13:43:14,2020-02-05 14:18:33,975,975,2020-02-07 00:00:00,
27422--IDEFIX/ARIANE 42P,7210--SL-3 R/B,0.0761536921296,2020-02-06 01:49:39.679000,1.87570772095,1.79677890071,0.00551504379813,-0.538362907982,14.9376411553,-0.0292677207673,14.9375069747,0.056143264138,2.87743026599,-159.760613094,798.19454969,2020-02-05 10:41:34,2020-02-05 16:29:57,775,LEO,2020-02-07 00:00:00,
