PrimarySatellite,SecondarySatellite,TCA_EpDay,TCA_UTCG,Range,RangeX,RangeY,RangeZ,Velocity,VelocityX,VelocityY,VelocityZ,Latitude,Longitude,Altitude,PrimaryAge,SecondaryAge,PrimaryCluster,SecondaryCluster,DateGenerated
10536--COSMOS 971,17359--COSMOS 1816,0.00255607638889,2019-12-07 00:03:40.845000,2.05881699043,-1.38240844745,-0.493273182921,1.44372984021,13.8700265098,0.0319155537394,13.1154096871,4.51249881087,-67.8996074237,115.02393948,1021.83263624,2019-12-06 22:42:15,2019-12-06 18:27:42,975,975,2019-12-08 00:00:00,
10917--COSMOS 1011,5681--OPS 7898 (P/L 3),0.0040975,2019-12-07 00:05:54.024000,3.09131453822,1.24430431122,0.726968504756,-2.73485815873,14.2211590914,-0.0377235738581,13.7480312828,3.63752370187,23.7156500787,-22.1201072182,991.682459422,2019-12-06 23:04:15,2019-12-06 21:36:01,975,975,2019-12-08 00:00:00,
11327--SL-8 R/B,24279--H-2 R/B,0.0141985300926,2019-12-07 00:20:26.753000,2.07588603872,-1.73253243008,-0.14992354457,1.13364772097,14.6272902161,0.175948847291,14.4632106231,2.17765918851,80.378731985,38.3721463505,982.050026442,2019-12-06 13:59:36,2019-12-06 13:29:10,975,LEO,2019-12-08 00:00:00,
27436--COSMOS 2389,21903--SL-8 R/B,0.0172476273148,2019-12-07 00:24:50.195000,3.89082297376,-1.53222452147,-2.28526200955,2.75106687972,11.2597005893,-0.0214162198503,8.66677513887,7.18800441009,-78.9783233549,12.3479340009,1041.31645154,2019-12-06 16:07:55,2019-12-06 18:09:46,975,975,2019-12-08 00:00:00,
28060--SERVIS 1,20528--SL-8 R/B,0.0182507175926,2019-12-07 00:26:16.862000,4.72856379059,-3.32833959224,-1.23075839326,3.12517277248,13.6294230706,0.0367113507412,12.6679156743,5.02829374475,-80.6552269338,-14.0098535313,1026.89460037,2019-12-06 21:39:41,2019-12-06 21:54:20,975,975,2019-12-08 00:00:00,
8873--COSMOS 823,15930--COSMOS 1670,0.0236315393519,2019-12-07 00:34:01.765000,2.93447598984,-0.119193475371,1.71302905071,-2.37959528529,11.9047762446,-0.02898513497,9.6604343305,6.95692934004,-59.9682030692,-4.49166675484,1006.76539713,2019-12-06 18:23:10,2019-12-06 21:37:09,975,975,2019-12-08 00:00:00,
6148--COSMOS 514,12092--SL-8 R/B,0.0268885300926,2019-12-07 00:38:43.169000,0.922445334114,0.0347352084716,-0.913340336098,-0.124532285688,2.05795065434,0.010218031646,0.278369363205,-2.03901127637,82.9207466547,-69.7180385101,965.294345837,2019-12-06 22:47:45,2019-12-06 14:35:24,975,975,2019-12-08 00:00:00,
10352--COSMOS 951,23603--COSMOS 2315,0.034251400463,2019-12-07 00:49:19.321000,3.54229241988,-3.48599404948,-0.429952900657,0.459153109659,10.4615288995,0.047457713602,7.456187435,7.33802450356,-79.9577401179,-2.3208391291,1017.38333723,2019-12-06 22:16:59,2019-12-06 21:50:46,975,975,2019-12-08 00:00:00,
16408--METEOR 2-13,20826--METEOR 2-20,0.0403016203704,2019-12-07 00:58:02.060000,1.55447622503,1.39084058476,0.613194731384,0.325501187959,6.98526361157,-0.0179309479717,3.30881104381,-6.15185790478,-81.554056628,145.864681128,971.958766465,2019-12-06 13:17:09,2019-12-06 09:46:08,975,975,2019-12-08 00:00:00,
11750--COSMOS 1171,16728--SL-8 R/B,0.0406933796296,2019-12-07 00:58:35.908000,3.82097900281,0.269104033837,-1.19171505301,-3.62039760128,13.9548469053,0.0314440366078,13.2559687978,-4.36074014986,30.4342985247,-58.0025177007,1001.34847143,2019-12-06 17:35:54,2019-12-06 22:10:43,975,975,2019-12-08 00:00:00,
