PrimarySatellite,SecondarySatellite,TCA_EpDay,TCA_UTCG,Range,RangeX,RangeY,RangeZ,Velocity,VelocityX,VelocityY,VelocityZ,Latitude,Longitude,Altitude,PrimaryAge,SecondaryAge,PrimaryCluster,SecondaryCluster,DateGenerated
6324 -- SL-8 R/B,13027 -- COSMOS 1331,0.8703463425925926,Mon 04 Sep 2017 20:53:17 GMT,1.4925219652300055,-1.4420593213326356,-0.37330397606518817,0.09343913475330919,3.683151548917001,0.009339890999796466,-0.9181570456003731,-3.566862169798576,-73.70221977037654,-83.85208121410548,781.0258010937031,28393.144352000007,14313.595352000004,775,775,Wed 06 Sep 2017 00:23:42 GMT
12443 -- SL-8 R/B,23432 -- SL-8 R/B,0.49705622685185186,Mon 04 Sep 2017 11:55:45 GMT,4.55561537564966,-1.7471521854795355,-2.0328404441620225,-3.6835649064749014,13.043065587012185,0.0032579624620802865,-11.415178928691788,6.309931799848007,-55.45672390634775,-165.04878405089363,801.4461914990727,53257.534368,13841.517368,775,775,Wed 06 Sep 2017 00:23:42 GMT
17304 -- SL-8 R/B,35946 -- WORLDVIEW 2,0.6742182523148148,Mon 04 Sep 2017 16:10:52 GMT,1.5289974513908609,0.7081356047901863,-1.3059293732042425,-0.3618364876465639,3.9327639852752783,0.021106682448326863,-1.0370079917361226,3.7935209893856827,-36.71305353719365,-89.74254858249279,780.4611818840702,9664.747472,33707.92147200001,775,775N,Wed 06 Sep 2017 00:23:42 GMT
17304 -- SL-8 R/B,35946 -- WORLDVIEW 2,0.7438691550925925,Mon 04 Sep 2017 17:51:10 GMT,3.4944283216995036,0.8679630753767924,3.265193276809063,0.8922904573944397,3.947433933599431,0.016320358675459373,-1.0449342871853728,3.806583854519611,-36.9804734709995,-114.87947816727407,780.5829956870173,3657.752040000003,39725.75904000001,775,775N,Wed 06 Sep 2017 00:23:42 GMT
23432 -- SL-8 R/B,13241 -- COSMOS 1371,0.6607124074074074,Mon 04 Sep 2017 15:51:25 GMT,2.546911932486528,-2.0952641665180636,0.402225770315039,1.3909863026076636,14.357849697083882,-0.018811914898879196,-13.803678676212497,3.9504365631896903,2.834096592314848,-68.12004532745227,781.0092727611643,27981.411895999998,9020.873896,775,775,Wed 06 Sep 2017 00:23:42 GMT
7433 -- COSMOS 676,10676 -- COSMOS 990,0.8792744097222223,Mon 04 Sep 2017 21:06:09 GMT,3.8369400692368614,-2.8489796319909146,1.9414026175250765,-1.6841555830989965,9.796557704290489,-0.008492374139090089,-6.420848684438647,-7.398998101406522,68.82015313131588,28.519716552718656,788.8444014849023,44004.697695999996,31376.730695999988,775,775,Wed 06 Sep 2017 00:23:42 GMT
11425 -- COSMOS 1110,11573 -- COSMOS 1140,0.511354224537037,Mon 04 Sep 2017 12:16:21 GMT,2.1240661764205373,2.1150573846516636,-0.05977310376963579,-0.18605525391141417,14.282434774610678,-0.03495961858290366,-13.666514451250265,4.148867757574904,19.07320145613742,-161.15964650852717,780.4698356618472,54629.149568,8712.169567999998,775,775,Wed 06 Sep 2017 00:23:42 GMT
12442 -- COSMOS 1269,13241 -- COSMOS 1371,0.22948153935185187,Mon 04 Sep 2017 05:30:27 GMT,0.8894044717335962,0.5732407179011716,0.37805040621524677,0.5652550610476174,12.389581168074608,-0.00280681655584749,-10.276674292635365,6.920381429168283,60.61219256287288,58.89892939757964,788.4063581079278,25247.697632000003,38174.17063200001,775,775,Wed 06 Sep 2017 00:23:42 GMT
12442 -- COSMOS 1269,13241 -- COSMOS 1371,0.2644120138888889,Mon 04 Sep 2017 06:20:45 GMT,4.02157430759505,-3.9833969975707078,0.31441742880595847,-0.4546976486800704,12.344088553453748,-0.007009965684638246,-10.237461255672596,-6.897163193262245,-60.610975746909475,-133.77298121452608,817.0212353084356,28265.690336000014,41192.16333600001,775,775,Wed 06 Sep 2017 00:23:42 GMT
22285 -- SL-16 R/B,8799 -- METEOR 1-24,0.6752157060185185,Mon 04 Sep 2017 16:12:18 GMT,4.974554603301928,-4.070068880011604,2.3819277115266306,1.5833992516915314,8.172898894768615,0.017352561772871068,-4.502470882265852,6.820830681600161,-70.96304958466676,93.7346919663081,870.9582066540592,4629.278824000001,4334.068824000002,850,850N,Wed 06 Sep 2017 00:23:42 GMT
