PrimarySatellite,SecondarySatellite,TCA_EpDay,TCA_UTCG,Range,RangeX,RangeY,RangeZ,Velocity,VelocityX,VelocityY,VelocityZ,Latitude,Longitude,Altitude,PrimaryAge,SecondaryAge,PrimaryCluster,SecondaryCluster,DateGenerated
11870 -- SL-8 R/B,12792 -- SL-8 R/B,0.2582689236111111,Mon 06 Nov 2017 06:11:54 GMT,4.57664337131638,4.3766851599048096,-0.38092150921025314,-1.2826497429533048,14.3199428269089,-0.014890965540037085,-13.742460827672748,4.025582097655562,12.327074853528924,171.89683062646128,776.55862794021,66405.05084000003,26862.053840000022,775,775,Tue 07 Nov 2017 01:44:37 GMT
11870 -- SL-8 R/B,12792 -- SL-8 R/B,0.36272049768518516,Mon 06 Nov 2017 08:42:19 GMT,4.27897864945734,-0.2586860034152778,1.196439195569139,-4.100155251384305,14.349923230587128,0.008924817756525955,-13.77085803603364,-4.0353049479289425,-12.403220436533402,-46.02386741747531,763.9357158440788,75429.66677600001,35886.66977600001,775,775,Tue 07 Nov 2017 01:44:37 GMT
11870 -- SL-8 R/B,12792 -- SL-8 R/B,0.43232930555555554,Mon 06 Nov 2017 10:22:33 GMT,1.1672842608192184,-0.24558631747186155,-0.3262188724789303,1.0935360778070171,14.349980996509442,0.010517008495753316,-13.770915204510331,-4.0353114406326345,-12.328147108773102,-71.25728356001551,763.8960077438426,81443.86709600002,41900.87009600001,775,775,Tue 07 Nov 2017 01:44:37 GMT
16012 -- SL-8 R/B,12442 -- COSMOS 1269,0.13271842592592592,Mon 06 Nov 2017 03:11:06 GMT,3.988009219358947,3.875558854647352,-0.6063956145383418,-0.718710968702333,11.372015217050432,0.0007562523213773603,-8.683446534462075,7.343056979763102,-65.06076968849433,104.14119570645744,801.2322245482147,16897.872063999996,40429.425063999995,775,775,Tue 07 Nov 2017 01:44:37 GMT
16953 -- SL-8 R/B,6323 -- COSMOS 540,0.013304340277777778,Mon 06 Nov 2017 00:19:09 GMT,2.770320890195863,0.16647918059970834,2.034854317912599,-1.8725198054909706,10.126793469961228,0.008712388589681496,-6.8652277426681305,-7.444495827041229,68.05864665524571,99.63941335009683,780.496588943641,25836.405552,7288.174551999997,775,775,Tue 07 Nov 2017 01:44:37 GMT
22676 -- SL-8 R/B,6323 -- COSMOS 540,0.5553342361111111,Mon 06 Nov 2017 13:19:40 GMT,4.9228138290489944,-3.8197946934578795,-0.8542688209480839,2.985546729973968,14.342710138226588,0.004338770502000443,-13.789208857118442,-3.9460149998478964,-3.489157228637416,-143.14645287805658,785.5104301548089,51321.988336,54119.557336,775,775,Tue 07 Nov 2017 01:44:37 GMT
7433 -- COSMOS 676,24277 -- ADEOS,0.8154750925925925,Mon 06 Nov 2017 19:34:17 GMT,4.239516190484795,-1.000801479731308,-0.2556758814792848,4.111754342270564,14.877605360614927,0.012293479945444859,-14.848128763703798,-0.9359820260137444,2.8579189373236176,-79.01127089424021,796.199836038867,87460.616064,78693.63706400001,775,775N,Tue 07 Nov 2017 01:44:37 GMT
10120 -- COSMOS 923,13241 -- COSMOS 1371,0.4354248958333333,Mon 06 Nov 2017 10:27:00 GMT,4.91849004257737,3.5804726406968257,-1.5178261995031497,3.0113059619129636,13.310329165560546,0.002766483002556469,-11.887906045032338,-5.986864346770108,-52.56760306013562,-4.129178229789848,801.6631814809061,64332.996935999996,41355.91293599999,775,775,Tue 07 Nov 2017 01:44:37 GMT
10120 -- COSMOS 923,13241 -- COSMOS 1371,0.5052958101851852,Mon 06 Nov 2017 12:07:37 GMT,3.576127129172268,3.566758713035597,0.11987277037696914,-0.22923360554734246,13.3103601090301,0.0010600160088556562,-11.887930936765015,-5.986884260709496,-52.59645481584881,-29.502844338009876,801.6585235123716,70369.843272,47392.759272,775,775,Tue 07 Nov 2017 01:44:37 GMT
13241 -- COSMOS 1371,41242 -- PSLV R/B,0.6175758680555555,Mon 06 Nov 2017 14:49:18 GMT,2.457698391023416,1.1902994253841825,1.2529852041726117,-1.7474257458595093,11.382944648984354,-2.0367380897874465,-8.39269143171916,-7.415244929697086,16.13285047655728,126.79004341352497,795.6447387716236,57093.756648,110365.29964800001,775,GTO,Tue 07 Nov 2017 01:44:37 GMT
23705 -- SL-16 R/B,25732 -- CZ-4B R/B,0.08897502314814815,Mon 06 Nov 2017 02:08:07 GMT,2.0243069624404035,1.681328595444029,-0.40130712440703065,1.0535204906540456,13.829517807938691,0.025343728208593916,-12.906227091959906,-4.968321924583191,-69.5683290437918,-98.47818549280282,873.0716423285992,10574.993687999995,10138.563687999995,850,850N,Tue 07 Nov 2017 01:44:37 GMT
