PrimarySatellite,SecondarySatellite,TCA_EpDay,TCA_UTCG,Range,RangeX,RangeY,RangeZ,Velocity,VelocityX,VelocityY,VelocityZ,Latitude,Longitude,Altitude,PrimaryAge,SecondaryAge,PrimaryCluster,SecondaryCluster,DateGenerated
22823--SPOT 3,23405--SL-16 R/B,0.000270659722222,2018-12-21 00:00:23.385000,3.22342166279,2.66517958088,-0.287909935703,1.79007622372,14.6496204673,-0.00289736569416,14.4636097135,2.32709378772,-54.3205443528,-105.911608459,861.75723383,2018-12-20 22:34:29,2018-12-20 21:11:03,850N,850,2018-12-22 00:00:00,
10138--SL-8 R/B,14059--SL-8 R/B,0.0132567592593,2018-12-21 00:19:05.384000,4.39903618,3.82819793461,-0.286607029325,-2.1480866596,14.5709666143,0.0289605562572,14.4494417372,-1.87772810671,18.1989171097,-79.6830340086,998.055424985,2018-12-20 22:20:02,2018-12-20 15:31:12,975,975,2018-12-22 00:00:00,
23180--SL-8 R/B,25592--SL-8 R/B,0.0153371875,2018-12-21 00:22:05.133000,4.82325555892,0.954838715925,-0.584505427621,4.69152753571,14.595499482,-0.0502273187486,14.4822023343,1.81435881033,-8.87151590808,144.230058717,988.133455222,2018-12-20 19:23:34,2018-12-20 18:53:09,975,975,2018-12-22 00:00:00,
36089--CZ-2C R/B,11510--COSMOS 1125,0.0221725925926,2018-12-21 00:31:55.712000,3.23995584209,0.430317126184,-0.646710997226,3.14545798187,14.5798786523,0.0418691179898,14.2818732418,2.93244014402,-66.8265191754,-99.8824595176,800.288381943,2018-12-20 23:28:46,2018-12-20 11:37:40,775N,775,2018-12-22 00:00:00,
17525--COSMOS 1821,694--ATLAS CENTAUR 2 R/B,0.0431624537037,2018-12-21 01:02:09.236000,4.31033810311,2.79635667826,-2.94367604469,1.44712654423,7.07996346812,0.429286885598,3.44199909179,6.17205295926,17.6971287324,-64.3326093329,962.992887537,2018-12-20 16:52:41,2018-12-20 11:11:08,975,LEO,2018-12-22 00:00:00,
31793--SL-16 R/B,23704--COSMOS 2322,0.0448049652778,2018-12-21 01:04:31.149000,0.641476981918,-0.640868131694,0.0278659570623,-0.00206022960033,2.08990632135,0.00632166138787,0.293262413124,2.06921860268,-70.874139622,122.749777309,868.698886235,2018-12-20 22:20:59,2018-12-20 22:06:57,850,850,2018-12-22 00:00:00,
11111--COSMOS 1048,19769--COSMOS 1992,0.059576712963,2018-12-21 01:25:47.428000,3.68568229475,3.58542123381,-0.637613147641,-0.56785387905,9.94331285346,0.00582413133385,6.63369512163,-7.40699167102,-68.4319016536,62.2290696877,805.028620693,2018-12-20 22:34:08,2018-12-20 22:25:54,775,775,2018-12-22 00:00:00,
23466--SL-8 R/B,11735--COSMOS 1168,0.0623071759259,2018-12-21 01:29:43.340000,2.83922841473,2.19246179776,-1.42610415025,-1.10478785701,8.99844991237,0.0198626220988,5.52962752249,-7.09893835473,-81.0706181796,-23.9679370892,1037.12132579,2018-12-20 19:12:20,2018-12-20 22:57:54,975,975,2018-12-22 00:00:00,
21153--SL-8 R/B,23189--COSMOS 2285,0.0843466898148,2018-12-21 02:01:27.554000,2.63685065365,2.51451919466,0.210453867219,-0.765430440415,14.2244490771,-0.0380428516853,13.746564401,3.65588176181,-38.9562538094,26.1621027114,992.574660105,2018-12-20 23:17:22,2018-12-20 21:44:16,975,975,2018-12-22 00:00:00,
22307--COSMOS 2230,22487--COSMOS 2233,0.0969438657407,2018-12-21 02:19:35.950000,4.7596508408,-0.878068762883,-3.05597518466,-3.54179150215,11.1342298865,-0.0114460193284,8.43147193316,-7.27194782669,-79.1948788017,-113.770487805,1002.54612552,2018-12-20 22:05:55,2018-12-20 18:37:50,975,975,2018-12-22 00:00:00,
27535--SL-8 R/B,9846--COSMOS 894,0.0987901041667,2018-12-21 02:22:15.465000,1.72221159944,-0.506660285043,-0.567562990903,-1.54505029049,13.7741167066,0.0194959424623,12.9257852477,-4.75920021502,69.2722338069,-146.663399279,1017.03697042,2018-12-20 22:51:43,2018-12-20 22:47:27,975,975,2018-12-22 00:00:00,
13917--SL-8 R/B,18709--COSMOS 1904,0.105040787037,2018-12-21 02:31:15.524000,4.7717032024,-4.03457763634,1.55919199046,2.01500746524,11.6657862256,-0.00636505220041,9.22022051081,-7.14689173553,78.4530666502,-147.767866984,973.121400501,2018-12-20 23:04:53,2018-12-20 22:56:23,975,975,2018-12-22 00:00:00,
14057--COSMOS 1459,24772--COSMOS 2341,0.106841944444,2018-12-21 02:33:51.144000,4.24262817408,-1.25297792823,3.55075254114,-1.95501829313,7.08549147196,-0.00181405546859,3.41705857849,6.20708440248,81.9880941054,-24.5536316027,1024.39389637,2018-12-20 17:25:23,2018-12-20 22:53:04,975,975,2018-12-22 00:00:00,
