PrimarySatellite,SecondarySatellite,TCA_EpDay,TCA_UTCG,Range,RangeX,RangeY,RangeZ,Velocity,VelocityX,VelocityY,VelocityZ,Latitude,Longitude,Altitude,PrimaryAge,SecondaryAge,PrimaryCluster,SecondaryCluster,DateGenerated
10138--SL-8 R/B,14059--SL-8 R/B,0.00167347222222,2017-01-27 00:02:24.588000,2.83915374476,0.547987316675,0.347284216119,-2.76403646148,14.5971446874,-0.000407683085816,14.4832316101,1.82006455553,-10.7993743314,-138.980858563,986.459526913,2017-01-26 22:38:20,2017-01-26 21:22:19,975,975,2017-01-28 00:00:00,
8073--SL-8 R/B,7593--COSMOS 700,0.0180646412037,2017-01-27 00:26:00.785000,4.12408183421,-1.816296884,3.69735467598,-0.196685038829,0.0628053323199,0.000294518336367,0.00348053114952,0.0627081249096,80.9113069232,68.8295011648,983.102020061,2017-01-26 14:17:31,2017-01-26 14:17:59,975,975,2017-01-28 00:00:00,
15360--SL-8 R/B,21876--SL-8 R/B,0.0479798726852,2017-01-27 01:09:05.461000,4.206108018,1.82367052146,3.15089173625,-2.10652599193,8.14112576581,0.00139082940305,4.52454512743,6.76804389688,-81.5209064145,-45.5654563369,1035.02849757,2017-01-26 20:20:03,2017-01-26 22:53:20,975,975,2017-01-28 00:00:00,
9613--SL-8 R/B,15752--SL-8 R/B,0.0804102083333,2017-01-27 01:55:47.442000,4.20174709809,1.73177342498,0.979397055201,3.700867586,14.2084696347,0.0387826076935,13.7309500535,-3.65241233945,61.531366546,-91.6257141827,1003.02269233,2017-01-26 14:53:58,2017-01-26 13:57:05,975,975,2017-01-28 00:00:00,
10992--SL-8 R/B,19921--COSMOS 2016,0.100240115741,2017-01-27 02:24:20.746000,2.52087849343,-2.36816669654,-0.0998309754434,-0.858282384984,14.6450498688,0.0417791680385,14.5338632247,-1.80071094991,-3.38511473631,37.6062888092,961.799885493,2017-01-26 22:19:11,2017-01-27 01:20:56,975,975,2017-01-28 00:00:00,
15597--COSMOS 1634,24953--COSMOS 2346,0.103274733796,2017-01-27 02:28:42.937000,3.84861086319,0.20181570322,-0.888084099398,-3.73930242567,14.2924808984,-0.00742439897374,13.9057336582,-3.30235166779,58.0297009385,-118.384622228,1003.60363952,2017-01-26 22:55:45,2017-01-26 23:00:25,975,975,2017-01-28 00:00:00,
22188--SL-14 R/B,23441--COSMOS 2299,0.122846423611,2017-01-27 02:56:53.931000,4.74666654286,1.68202957199,-2.45755233684,-3.69622189535,11.9018284196,0.0244990622265,9.91631063555,-6.58177049933,-76.5586341808,128.884825478,1442.8235812,2017-01-26 14:56:21,2017-01-26 21:39:50,1500,1500,2017-01-28 00:00:00,
9444--SL-8 R/B,5705--COSMOS 468,0.123176030093,2017-01-27 02:57:22.409000,0.878907599373,-0.747567140651,-0.21097305795,-0.411232668053,13.2781086322,-0.0156403249453,11.8250943327,-6.03945926813,-52.9306415696,-132.128341499,792.587841505,2017-01-26 20:51:10,2017-01-26 12:09:52,775,775,2017-01-28 00:00:00,
21876--SL-8 R/B,27535--SL-8 R/B,0.159963912037,2017-01-27 03:50:20.882000,3.88621361957,-0.0634636098702,2.29010247614,3.13911760148,11.9342994881,0.0232207874602,9.64116784229,-7.03383591674,77.9842559833,-177.658655318,970.088485645,2017-01-26 22:53:20,2017-01-25 22:02:07,975,975,2017-01-28 00:00:00,
14680--SL-8 R/B,24772--COSMOS 2341,0.175384050926,2017-01-27 04:12:33.182000,4.52204770967,-3.2114181619,-3.17074104162,-0.286548643224,1.17303942584,0.0175119055293,0.0879683940607,-1.16960522801,-82.9504692518,-140.649710608,1033.57108247,2017-01-26 22:12:30,2017-01-26 09:41:33,975,975,2017-01-28 00:00:00,
