PrimarySatellite,SecondarySatellite,TCA_EpDay,TCA_UTCG,Range,RangeX,RangeY,RangeZ,Velocity,VelocityX,VelocityY,VelocityZ,Latitude,Longitude,Altitude,PrimaryAge,SecondaryAge,PrimaryCluster,SecondaryCluster,DateGenerated
23005--SL-14 R/B,18788--COSMOS 1909,0.00227561342593,2018-10-28 00:03:16.613000,2.63842162329,1.3279358471,1.01989879161,2.03903445363,12.7780409347,0.0122664017093,11.4247742837,-5.72299853493,-73.3894465438,-171.742244317,1441.09212346,2018-10-27 21:25:24,2018-10-27 22:52:05,1500,1500,2018-10-29 00:00:00,
16511--SL-8 R/B,10019--COSMOS 911,0.00520384259259,2018-10-28 00:07:29.612000,4.17417297317,-1.75438688935,0.600847396343,3.73962953495,14.5036304235,-0.027126970231,14.3180764093,-2.31241162551,-39.9220690275,-1.53468717643,1001.4663967,2018-10-27 21:38:53,2018-10-27 21:27:32,975,975,2018-10-29 00:00:00,
13066--SL-8 R/B,23190--SL-8 R/B,0.0431696180556,2018-10-28 01:02:09.855000,3.7498953625,3.58723772412,-0.355438704019,-1.0330072933,13.8928796731,0.00614099889496,13.143860446,-4.5001111625,51.7713956765,-33.1254999522,1010.4933174,2018-10-27 21:15:50,2018-10-27 16:02:01,975,975,2018-10-29 00:00:00,
14450--COSMOS 1506,16368--COSMOS 1709,0.0507854050926,2018-10-28 01:13:07.859000,2.2895911748,-1.28808756858,0.291675257454,-1.87028973894,14.4955904746,-0.0160408080921,14.3213442202,2.24075559285,37.5557520775,136.850446275,1011.35571084,2018-10-27 20:03:55,2018-10-27 19:55:44,975,975,2018-10-29 00:00:00,
20104--SL-8 R/B,20508--NADEZHDA 2,0.0512362962963,2018-10-28 01:13:46.816000,4.15326135622,-2.70582617509,-0.437168143194,3.12041161033,14.5601403942,0.0551931278397,14.4125875747,2.06687237607,-30.4819771432,103.439321873,989.88571334,2018-10-27 18:24:15,2018-10-27 16:03:39,975,975,2018-10-29 00:00:00,
5731--METEOR 1-10,28480--CZ-2C R/B,0.0564318055556,2018-10-28 01:21:15.708000,4.66899967088,3.91883809275,0.577434230474,2.47160588261,14.4273579949,0.11050191898,14.0083213448,-3.45012769905,81.2612560181,-114.978661619,853.125555437,2018-10-27 21:31:58,2018-10-27 20:32:55,850N,LEO,2018-10-29 00:00:00,
12088--SL-8 R/B,27006--SL-16 R/B,0.0569239467593,2018-10-28 01:21:58.229000,2.58928167051,-1.09305914218,1.47414105096,-1.82661146466,11.4072486286,0.0158849969009,8.88074033453,7.15943573555,-79.3222303408,136.349337607,1034.21215707,2018-10-27 17:07:34,2018-10-27 22:50:34,975,975N,2018-10-29 00:00:00,
13916--COSMOS 1447,23603--COSMOS 2315,0.105984826389,2018-10-28 02:32:37.089000,4.14500917716,4.09958267495,-0.385118606561,-0.475611846858,11.4262062864,0.00751178636795,8.9091601963,-7.15436917343,-78.7012115872,48.8210578494,1035.25714668,2018-10-27 22:02:10,2018-10-27 18:31:41,975,975,2018-10-29 00:00:00,
11751--SL-8 R/B,10137--COSMOS 926,0.109645706019,2018-10-28 02:37:53.389000,2.39659598689,2.06835719517,-0.938541950856,0.764663222637,9.34397805618,0.018796437973,5.92856890116,7.22230180707,65.8001581297,-6.82493457832,1000.20052013,2018-10-27 12:45:04,2018-10-27 22:50:08,975,975,2018-10-29 00:00:00,
11668--SL-8 R/B,27534--NADEZHDA 7,0.119163587963,2018-10-28 02:51:35.734000,4.1756252172,3.15764242311,0.479226795995,-2.68988512029,14.5249770525,0.00741750796661,14.2983805774,2.55562442858,45.9218955733,-35.3174890685,975.981247066,2018-10-27 20:14:39,2018-10-27 23:02:53,975,975,2018-10-29 00:00:00,
4784--SL-8 R/B,11320--COSMOS 1091,0.119435243056,2018-10-28 02:51:59.205000,4.0434313921,-3.88074623497,-0.252618710958,-1.10694619076,14.3848560381,0.0170168264994,14.01240157,-3.25213712911,28.0310055317,-31.5065773736,959.998947486,2018-10-27 22:57:54,2018-10-27 22:09:34,975,975,2018-10-29 00:00:00,
6829--SL-8 R/B,23466--SL-8 R/B,0.122958391204,2018-10-28 02:57:03.605000,4.30438851829,-3.81168259466,-0.752549613216,-1.85270218699,13.6627227214,-0.0203807881914,12.6722558633,-5.10720159382,-70.8619678845,154.677855984,986.512840792,2018-10-27 19:17:54,2018-10-27 22:21:09,975,975,2018-10-29 00:00:00,
15506--SL-8 R/B,7094--COSMOS 628,0.146480266204,2018-10-28 03:30:55.895000,4.10845957692,3.65402735417,-0.455974887956,1.82197999212,14.2198346363,0.00459585413045,13.7968831493,3.44233806112,-59.6186643528,-170.434437375,1025.58295514,2018-10-27 22:50:55,2018-10-27 21:39:04,975,975,2018-10-29 00:00:00,
12835--COSMOS 1308,23189--COSMOS 2285,0.148328657407,2018-10-28 03:33:35.596000,1.56107504575,-0.985212707958,1.11031997081,0.483219185215,5.85991753091,-0.011792985277,2.32954747384,-5.37696038313,-73.2913119791,-156.459122647,998.907128072,2018-10-27 23:23:44,2018-10-27 19:59:39,975,975,2018-10-29 00:00:00,
24678--SL-8 R/B,4598--COSMOS 375,0.184362569444,2018-10-28 04:25:28.926000,1.64919345537,-0.0975039970946,0.773424362496,1.45332266867,13.0710562795,-0.644748257675,11.5080213181,-6.16459709058,-49.8862591166,165.14570754,1020.50183676,2018-10-27 22:37:45,2018-10-27 13:55:23,975,GTO,2018-10-29 00:00:00,
25592--SL-8 R/B,15292--COSMOS 1598,0.184983541667,2018-10-28 04:26:22.578000,1.70139227514,-1.69315981658,-0.160999380449,0.0449967656647,3.43124239048,0.0126474998338,0.801441447585,3.33630873707,82.7732872022,71.6507676576,1015.94762992,2018-10-27 23:18:52,2018-10-27 21:33:13,975,975,2018-10-29 00:00:00,
11320--COSMOS 1091,13033--COSMOS 1333,0.204917662037,2018-10-28 04:55:04.886000,2.83363117391,0.106503142159,2.78351073066,0.519798732981,2.71980627249,-0.00134774747631,0.499352403418,-2.67357280071,82.8451153502,34.2709753321,989.355707113,2018-10-27 22:09:34,2018-10-27 22:04:50,975,975,2018-10-29 00:00:00,
14625--SL-8 R/B,23603--COSMOS 2315,0.205174386574,2018-10-28 04:55:27.067000,1.81901878228,1.49465570246,-0.194818378881,-1.01827278302,14.4996541854,0.0123194146325,14.2452722747,-2.7040779481,48.772894598,59.3812478638,975.012321673,2018-10-27 18:28:54,2018-10-27 18:31:41,975,975,2018-10-29 00:00:00,
22676--SL-8 R/B,6059--COSMOS 494,0.212844583333,2018-10-28 05:06:29.772000,4.7497088617,4.69334981953,0.225085580018,0.693929552689,14.2046299467,-0.00384837675763,13.5181217726,-4.36255439564,26.6675589451,49.6657091831,785.166365327,2018-10-27 15:00:14,2018-10-27 22:17:22,775,775,2018-10-29 00:00:00,
15506--SL-8 R/B,7094--COSMOS 628,0.219198391204,2018-10-28 05:15:38.741000,4.03138340204,3.64506309542,0.416364472887,-1.67099006293,14.2199606872,0.00366079056295,13.7970132147,3.44233857949,-59.5625065724,163.288914683,1025.50720101,2018-10-27 22:50:55,2018-10-27 21:39:04,975,975,2018-10-29 00:00:00,
15056--SL-8 R/B,32052--COSMOS 2429,0.224965578704,2018-10-28 05:23:57.026000,0.290139788577,0.287119312611,-0.0114763552802,-0.0401483562672,14.2209023581,0.0225459707122,13.6959481979,-3.82812728615,63.0571610343,-2.68623401662,970.059027713,2018-10-27 13:40:54,2018-10-27 22:06:16,975,975,2018-10-29 00:00:00,
11379--SL-8 R/B,11586--SL-8 R/B,0.237136331019,2018-10-28 05:41:28.579000,2.03457746363,-1.49264906833,-0.664437960138,-1.21244645715,12.8931016937,-0.00209929408133,11.3075655715,-6.19443522237,75.2721266363,-32.3436746381,997.945748089,2018-10-27 22:30:41,2018-10-27 20:36:39,975,975,2018-10-29 00:00:00,
4784--SL-8 R/B,20527--COSMOS 2061,0.239671435185,2018-10-28 05:45:07.612000,3.63717178799,1.38920001484,0.745815797884,-3.27763645479,14.3605750222,-0.057125793412,14.0074358399,3.16458414361,25.1128333721,121.275661983,986.927876815,2018-10-27 22:57:54,2018-10-27 20:47:11,975,975,2018-10-29 00:00:00,
12092--SL-8 R/B,8645--COSMOS 800,0.254491342593,2018-10-28 06:06:28.052000,3.29359918413,-1.76109803758,1.21857765153,-2.50227852065,13.1949198348,-0.00274895760699,11.8629950683,5.7771316325,-73.7924067303,80.4434226996,1018.12126211,2018-10-27 22:03:58,2018-10-27 17:09:53,975,975,2018-10-29 00:00:00,
8597--SL-8 R/B,9613--SL-8 R/B,0.27190619213,2018-10-28 06:31:32.695000,4.4217588154,-2.02901305614,-2.91177073106,2.63754587627,9.86467300491,0.0233414306634,6.61341519822,7.31942402702,-80.5625883649,-124.620401454,991.79151127,2018-10-27 21:00:26,2018-10-27 22:16:26,975,975,2018-10-29 00:00:00,
6707--COSMOS 574,12091--COSMOS 1226,0.28071212963,2018-10-28 06:44:13.528000,4.01844420286,-1.37106615666,-0.465201323118,3.74855427259,14.6031955662,-0.00739462767231,14.492404655,1.79540340306,3.2733279887,-49.2193060982,988.827965581,2018-10-27 22:31:45,2018-10-27 23:10:45,975,975,2018-10-29 00:00:00,
5731--METEOR 1-10,6392--METEOR 1-14,0.30262119213,2018-10-28 07:15:46.471000,4.03203919759,3.94647231156,-0.516658837084,-0.644794565037,11.4599584472,-0.0237970946967,8.86974055484,-7.2565683212,-76.1578013156,-69.863958767,897.79539962,2018-10-27 21:31:58,2018-10-27 21:24:12,850N,850N,2018-10-29 00:00:00,
6207--SL-8 R/B,10693--SL-8 R/B,0.308382465278,2018-10-28 07:24:04.245000,2.15390700722,0.181832985809,-2.11974321438,-0.336066758404,2.30695160892,0.0408839219599,0.364564382793,-2.27759676888,-17.3412069196,-26.5784264839,986.016861962,2018-10-28 02:56:25,2018-10-28 02:52:34,975,975,2018-10-29 00:00:00,
10352--COSMOS 951,10776--COSMOS 1000,0.312419224537,2018-10-28 07:29:53.021000,4.58160337509,-0.22662412033,0.644466214364,4.53038566717,14.6028723062,0.0182515754845,14.4573868474,-2.05609144129,-29.7461215175,102.557663433,972.457494946,2018-10-27 20:31:55,2018-10-27 23:12:38,975,975,2018-10-29 00:00:00,
8799--METEOR 1-24,15427--NOAA 9,0.327959618056,2018-10-28 07:52:15.711000,2.54910655079,2.48089584097,-0.00011364514227,-0.585747403426,14.8872922799,0.00420755816004,14.8872835795,0.0155353479581,-12.3629801188,93.304121256,835.978707214,2018-10-27 20:45:12,2018-10-27 21:56:47,850N,850N,2018-10-29 00:00:00,
8874--SL-8 R/B,9613--SL-8 R/B,0.341363842593,2018-10-28 08:11:33.836000,2.49905449952,0.665431482762,-0.750669861359,2.28887944038,13.9785290016,0.00666371707104,13.2835040122,4.35290130842,-66.9544282654,179.465876592,997.464291332,2018-10-27 19:12:49,2018-10-27 22:16:26,975,975,2018-10-29 00:00:00,
16510--COSMOS 1727,20527--COSMOS 2061,0.346215381944,2018-10-28 08:18:33.009000,4.20100500872,-2.50790445422,-0.530819092686,-3.32822616759,14.4755852753,0.046102454535,14.2896026205,-2.31250958354,-39.8206693955,-99.9128793693,1018.99670773,2018-10-27 22:49:59,2018-10-27 20:47:11,975,975,2018-10-29 00:00:00,
14625--SL-8 R/B,9610--COSMOS 883,0.356042071759,2018-10-28 08:32:42.035000,3.97526677605,0.285957672491,0.52731495652,3.92974720395,14.6173765206,0.0484703446114,14.4868848506,-1.94820797042,22.8666716794,9.92103026543,971.108710895,2018-10-27 18:28:54,2018-10-27 18:28:23,975,975,2018-10-29 00:00:00,
10776--COSMOS 1000,27006--SL-16 R/B,0.3614521875,2018-10-28 08:40:29.469000,3.54073817225,1.87844639703,0.0713540305284,-3.0005290434,14.6653193131,0.00724025376971,14.6610249698,0.354802719869,-32.9966997563,-86.596571868,1017.11135363,2018-10-27 23:12:38,2018-10-27 22:50:34,975,975N,2018-10-29 00:00:00,
10352--COSMOS 951,10776--COSMOS 1000,0.385202083333,2018-10-28 09:14:41.460000,1.25169362212,-0.121242843784,-0.175241246039,-1.23342109686,14.6030560429,0.0190088884037,14.4575706828,-2.05609688673,-29.5851708046,76.204264027,972.390321728,2018-10-27 20:31:55,2018-10-27 23:12:38,975,975,2018-10-29 00:00:00,
18586--SL-8 R/B,16681--COSMOS 1741,0.386599097222,2018-10-28 09:16:42.162000,0.478933124782,0.434140859773,0.20153025048,-0.0168585299065,1.31420107788,0.000368192385163,0.108757859266,1.30969311886,-74.0300411221,-163.010189333,803.608003065,2018-10-27 21:59:34,2018-10-27 22:29:34,775,775,2018-10-29 00:00:00,
32053--SL-8 R/B,17359--COSMOS 1816,0.402419641204,2018-10-28 09:39:29.057000,2.36378474339,-1.29950037862,-0.426741220218,-1.92786643988,14.3206681678,0.0375561273752,13.9773734135,-3.11659409766,-55.7653476622,101.897328274,1015.03111088,2018-10-27 22:36:00,2018-10-27 22:00:35,975,975,2018-10-29 00:00:00,
20322--COBE,7274--METEOR 1-17,0.419034861111,2018-10-28 10:03:24.612000,3.00474185247,2.55191814466,0.00552464308635,1.58623984986,14.8205409337,-0.00199353537608,14.8204519769,-0.0513107702535,67.1112211294,105.921847474,890.508093164,2018-10-27 22:03:17,2018-10-27 21:35:39,850N,850N,2018-10-29 00:00:00,
14625--SL-8 R/B,9610--COSMOS 883,0.428799305556,2018-10-28 10:17:28.260000,3.69066822779,0.469637938196,-0.489666886331,-3.62776770412,14.6175865447,0.0494209370057,14.4870910255,-1.9482267786,23.0883024631,-16.4295339747,971.130994953,2018-10-27 18:28:54,2018-10-27 18:28:23,975,975,2018-10-29 00:00:00,
10732--SL-8 R/B,6148--COSMOS 514,0.430275173611,2018-10-28 10:19:35.775000,3.03340786825,2.96100780353,0.648133538525,0.117978806757,2.78813109414,-0.00845267677884,0.536789204525,-2.73595703553,-82.8574123728,-51.0414778168,997.200549867,2018-10-26 22:24:19,2018-10-28 09:40:58,975,975,2018-10-29 00:00:00,
7434--SL-8 R/B,17303--COSMOS 1814,0.470207372685,2018-10-28 11:17:05.917000,4.75586661992,1.56112265316,4.04831726107,-1.94738047694,6.51548475621,-0.0391743680186,2.83659492265,5.86546982109,72.3218316893,-123.993686003,780.94284813,2018-10-27 16:31:14,2018-10-27 13:36:43,775,775,2018-10-29 00:00:00,
20104--SL-8 R/B,25567--NADEZHDA 5,0.49287943287,2018-10-28 11:49:44.783000,4.71379786636,-4.66391885974,-0.0752585087308,0.679770072489,14.5810701898,0.0274584828229,14.4707669994,1.78990400877,-2.16547299559,-52.4322109014,996.381853017,2018-10-27 18:24:15,2018-10-27 16:16:15,975,975,2018-10-29 00:00:00,
25732--CZ-4B R/B,7274--METEOR 1-17,0.51465818287,2018-10-28 12:21:06.467000,4.10212428564,3.8876479518,0.00413950845698,1.30904542405,14.8129329286,0.000174561519676,14.8128427831,-0.0516778477186,-55.0357275115,105.342106322,881.683355167,2018-10-27 23:19:38,2018-10-27 21:35:39,850N,850N,2018-10-29 00:00:00,
8026--METEOR 2-1,31793--SL-16 R/B,0.514939201389,2018-10-28 12:21:30.747000,1.85618797564,1.32437357476,-0.480227303674,-1.20865634992,13.801125936,0.010399941598,12.8289087078,-5.08822860247,-49.2918067342,176.706247445,863.400194511,2018-10-28 06:09:50,2018-10-27 18:25:52,850N,850,2018-10-29 00:00:00,
13991--COSMOS 1452,21014--COSMOS 2112,0.523856261574,2018-10-28 12:34:21.181000,1.71860597141,1.52185364083,-0.51363475641,0.611348769397,11.3920975809,-0.00880678778011,8.71054273439,7.34208791862,-64.8804942157,-6.82932454892,806.805811456,2018-10-28 10:11:47,2018-10-27 15:18:37,775,775,2018-10-29 00:00:00,
11574--SL-8 R/B,10961--COSMOS 1023,0.567152719907,2018-10-28 13:36:41.995000,3.09883194578,-1.79820091517,1.04057615281,-2.29922468826,13.5967402252,0.0138463860639,12.3920649955,5.59534433041,-48.3032070514,119.472970524,783.899399535,2018-10-27 17:50:56,2018-10-27 21:29:48,775,775,2018-10-29 00:00:00,
9061--COSMOS 846,12297--COSMOS 1244,0.588798530093,2018-10-28 14:07:52.193000,3.48517491423,1.24359368447,3.23354889804,-0.379579312786,1.76529171945,-0.00825909365644,0.208955367628,1.75286174483,-82.9244658813,2.41317088713,1030.48489226,2018-10-28 13:22:42,2018-10-28 13:21:01,975,975,2018-10-29 00:00:00,
11586--SL-8 R/B,17360--SL-8 R/B,0.593869664352,2018-10-28 14:15:10.339000,3.678899067,3.0343144273,0.368769823628,-2.04725257812,14.4746301599,0.0153268864493,14.2414814252,2.5874485824,46.68078118,178.231666609,991.252153176,2018-10-28 10:32:32,2018-10-28 12:31:58,975,975,2018-10-29 00:00:00,
8646--SL-8 R/B,13618--SL-8 R/B,0.598697615741,2018-10-28 14:22:07.474000,2.11618805682,-1.87637087048,0.175795676618,0.962590322159,14.4799571518,0.0371936871181,14.2565529632,-2.5334706143,45.7501712373,-114.571479231,995.31083709,2018-10-28 14:15:51,2018-10-28 04:20:53,975,975,2018-10-29 00:00:00,
