PrimarySatellite,SecondarySatellite,TCA_EpDay,TCA_UTCG,Range,RangeX,RangeY,RangeZ,Velocity,VelocityX,VelocityY,VelocityZ,Latitude,Longitude,Altitude,PrimaryAge,SecondaryAge,PrimaryCluster,SecondaryCluster,DateGenerated
14085--SL-8 R/B,23092--COSMOS 2279,0.00216305555556,2019-04-02 00:03:06.888000,4.05530126666,1.57306972707,3.47021579663,-1.38871246917,5.44287510078,0.00272673436034,2.02106226858,5.05373022966,-82.4344575354,65.6558376564,1030.00833487,2019-04-01 17:29:49,2019-04-01 21:00:50,975,975,2019-04-03 00:00:00,
5847--SL-8 R/B,11667--COSMOS 1150,0.0173381597222,2019-04-02 00:24:58.017000,4.08890722167,3.16441736357,-1.91934500902,1.73831520529,9.84483413961,-0.0426751989824,6.57031887734,7.33142877712,73.1991914866,-79.4832151319,987.351966071,2019-04-01 22:32:01,2019-04-01 17:13:15,975,975,2019-04-03 00:00:00,
20527--COSMOS 2061,22590--COSMOS 2239,0.0193970949074,2019-04-02 00:27:55.909000,3.357747484,1.1309372669,3.13045190966,0.442402425313,2.07609861464,-0.0226773975682,0.298511735943,-2.05440062716,-82.8976878033,17.0741916878,1027.59620147,2019-04-01 18:14:40,2019-04-01 21:58:45,975,975,2019-04-03 00:00:00,
7594--SL-8 R/B,14965--COSMOS 1550,0.0212221990741,2019-04-02 00:30:33.598000,4.33691739663,-4.07680733215,-0.260494235074,1.45624078889,14.5180773317,-0.0022853079879,14.2921801532,2.55110773086,45.9053385252,-29.5805102775,973.176723414,2019-04-01 19:44:14,2019-04-01 20:41:54,975,975,2019-04-03 00:00:00,
21090--SL-8 R/B,20527--COSMOS 2061,0.0265088541667,2019-04-02 00:38:10.365000,3.2918914228,2.45668434701,-0.478073484237,-2.13838651846,14.3419256344,0.0145216243493,14.0001365229,-3.1123620233,-55.5094570878,102.444161278,1009.13417398,2019-04-01 13:01:28,2019-04-01 18:14:40,975,975,2019-04-03 00:00:00,
14759--COSMOS 1538,37932--CZ-2D R/B,0.0326795833333,2019-04-02 00:47:03.516000,2.99793048223,0.84596929581,2.75838692699,0.814386080332,4.29561795874,-0.00887935770529,1.21898086467,-4.11902178387,-42.4621947868,-161.470942868,810.006072481,2019-04-01 21:38:32,2019-04-01 20:11:49,775,LEO,2019-04-03 00:00:00,
23190--SL-8 R/B,23774--SL-8 R/B,0.0379029398148,2019-04-02 00:54:34.814000,3.63600155404,-0.625090286057,1.41457606666,-3.2907056974,13.5240903862,0.0316148439971,12.4274758188,5.33459146037,-59.4100391283,-133.468566024,993.121780526,2019-04-01 21:43:20,2019-04-01 21:59:56,975,975,2019-04-03 00:00:00,
12298--SL-8 R/B,13113--METEOR 2-8,0.0421516550926,2019-04-02 01:00:41.903000,1.98022893999,1.86479272573,0.109880504073,0.65710046392,14.5286344752,0.0178143654739,14.3223498764,-2.43950740547,-41.4906702566,-175.499950771,970.557642838,2019-04-01 21:06:37,2019-04-01 22:02:02,975,LEO,2019-04-03 00:00:00,
10962--SL-8 R/B,16860--COSMOS 1763,0.0466649768519,2019-04-02 01:07:11.854000,4.95916404662,3.89720514019,-2.55867410697,-1.69064690308,8.31431682397,0.0327239139922,4.61806559179,-6.9137734693,-70.7864679344,119.396576859,774.35495883,2019-04-01 10:35:43,2019-04-01 22:08:44,775,775,2019-04-03 00:00:00,
17360--SL-8 R/B,32053--SL-8 R/B,0.0695918981481,2019-04-02 01:40:12.740000,4.19902233582,-3.50089641687,0.462340011536,2.27194950842,14.4377154631,0.0448368771658,14.1611076818,-2.81223161791,-51.144437587,114.199963559,987.134281722,2019-04-01 21:38:26,2019-04-01 19:15:34,975,975,2019-04-03 00:00:00,
14085--SL-8 R/B,23092--COSMOS 2279,0.0748608333333,2019-04-02 01:47:47.976000,2.18059579012,1.59816981794,1.37694009614,-0.552165921206,5.44291121396,0.00480585509865,2.0210588552,5.05376893918,-82.4379360122,39.2929153646,1029.98492046,2019-04-01 17:29:49,2019-04-01 21:00:50,975,975,2019-04-03 00:00:00,
7737--SL-8 R/B,20046--SL-8 R/B,0.0760530555556,2019-04-02 01:49:30.984000,2.90322127639,-2.61209472102,0.310540902502,1.22850286771,14.2750868016,0.0443131767453,13.8625671178,-3.40666588349,-59.2866364858,-53.5709924449,994.275985625,2019-04-01 18:00:47,2019-04-01 17:24:07,975,975,2019-04-03 00:00:00,
12092--SL-8 R/B,18820--METEOR 2-17,0.084581724537,2019-04-02 02:01:47.861000,4.30284159699,2.35130659462,1.21389284992,3.39297321767,13.8874068554,0.0146755956476,13.072821005,-4.68627834907,68.0891493607,59.4382572926,967.652049901,2019-04-01 13:49:15,2019-04-01 22:46:31,975,975N,2019-04-03 00:00:00,
17582--COSMOS 1827,16138--COSMOS 1690,0.10118087963,2019-04-02 02:25:42.028000,2.13004228248,-1.96361424494,-0.80426768438,-0.185614423216,2.92663417121,0.0242940986413,0.601654471873,-2.86401977391,82.4605387255,-42.9335558833,1411.10926719,2019-04-01 22:09:03,2019-04-01 13:18:07,1500,1500,2019-04-03 00:00:00,
14085--SL-8 R/B,23092--COSMOS 2279,0.147558611111,2019-04-02 03:32:29.064000,1.79769779027,1.62399734377,-0.716550332059,0.284439086954,5.44294847227,0.00688512009163,2.02105622279,5.05380771411,-82.4414050251,12.9299233852,1029.96122253,2019-04-01 17:29:49,2019-04-01 21:00:50,975,975,2019-04-03 00:00:00,
21231--SL-8 R/B,10744--COSMOS 996,0.157825671296,2019-04-02 03:47:16.138000,2.66710064257,-1.63109968774,1.55693139817,-1.42439610631,9.91367127598,-0.00564102678298,6.68799765537,7.31789134305,80.4724564445,144.305966773,1003.8946527,2019-04-01 22:45:58,2019-04-01 22:37:01,975,975,2019-04-03 00:00:00,
23180--SL-8 R/B,8072--COSMOS 755,0.165584131944,2019-04-02 03:58:26.469000,4.27291753815,4.25887956363,-0.27712534177,0.20729374135,9.18564331152,0.0237508298271,5.726588016,7.18203791689,-80.9784897173,-136.249796024,998.433319758,2019-04-01 18:30:25,2019-04-01 23:52:27,975,975,2019-04-03 00:00:00,
23604--SL-8 R/B,13949--COSMOS 1448,0.177718298611,2019-04-02 04:15:54.861000,4.90485740535,4.79718081838,0.177689805761,-1.00653300763,14.4723647677,-0.00827340167947,14.2589537416,2.47618894947,44.1996285666,142.738585448,1007.76214426,2019-04-01 22:48:23,2019-04-01 21:09:57,975,975,2019-04-03 00:00:00,
10777--SL-8 R/B,20805--SL-8 R/B,0.182400671296,2019-04-02 04:22:39.418000,3.11539574785,-1.27347879087,-0.442288422138,-2.80861592009,14.5550621811,0.0392506891216,14.3751400891,-2.28114924938,-38.4068000103,33.859098773,976.59214044,2019-04-02 03:38:52,2019-04-01 22:07:38,975,975,2019-04-03 00:00:00,
9613--SL-8 R/B,5683--COSMOS 465,0.189346747685,2019-04-02 04:32:39.559000,2.47555472101,1.92696625672,-1.49609523926,0.420560646314,3.9268240735,-0.01728715828,1.04200182424,3.78601118021,69.4702148418,147.214799549,1006.1269321,2019-04-01 21:13:41,2019-04-01 23:22:30,975,975,2019-04-03 00:00:00,
7737--SL-8 R/B,13916--COSMOS 1447,0.207142708333,2019-04-02 04:58:17.130000,1.7639469526,-1.76227428905,0.0111544914011,0.0759852554688,14.6481586274,0.0161111297291,14.5353193161,-1.81460298254,8.96639371324,-113.969961578,957.666519162,2019-04-01 18:00:47,2019-04-01 22:26:09,975,975,2019-04-03 00:00:00,
15598--SL-8 R/B,13110--COSMOS 1344,0.208093587963,2019-04-02 04:59:39.286000,4.7206246317,-4.71504959198,0.0994463597889,-0.206675301205,13.2525378449,-0.00433051931389,11.8974088203,5.83792805182,73.8643547055,101.004960911,971.567351521,2019-04-01 20:14:32,2019-04-01 20:18:13,975,975,2019-04-03 00:00:00,
14085--SL-8 R/B,23092--COSMOS 2279,0.220256400463,2019-04-02 05:17:10.153000,3.44655315311,1.65055186323,-2.81033605288,1.1209007333,5.44298687554,0.00896444937422,2.02105437182,5.05384655407,-82.4448653882,-13.4331540134,1029.93724173,2019-04-01 17:29:49,2019-04-01 21:00:50,975,975,2019-04-03 00:00:00,
8343--COSMOS 773,11573--COSMOS 1140,0.221629733796,2019-04-02 05:19:08.809000,3.85189801022,1.03601701844,2.91818105781,2.29085275226,9.2094648839,-0.00399388339051,5.68713795921,-7.24366546229,69.6563962116,-1.8900656854,794.478845728,2019-04-01 17:07:40,2019-04-01 20:36:17,775,775,2019-04-03 00:00:00,
15078--SL-8 R/B,31123--SL-24 R/B,0.223649780093,2019-04-02 05:22:03.341000,4.80201321029,-3.78163391998,-0.345669390349,-2.93923262768,14.525734691,-0.188346462063,14.4510364112,-1.45912321754,-80.9751513585,5.65021914437,1017.83930257,2019-04-02 04:01:58,2019-04-02 04:24:39,975,LEO,2019-04-03 00:00:00,
24773--SL-8 R/B,7005--COSMOS 626,0.230768310185,2019-04-02 05:32:18.382000,4.76985073692,-4.03535665257,-1.87721410728,1.71564563196,9.89019429604,0.00317754677337,6.66827494498,7.30411133367,-65.0318624222,-39.9434162907,994.593762481,2019-04-01 23:25:56,2019-04-01 21:20:14,975,975,2019-04-03 00:00:00,
9613--SL-8 R/B,15505--COSMOS 1627,0.24397875,2019-04-02 05:51:19.764000,4.6719788559,-4.42363318954,0.188394204238,-1.49109471806,14.6010744526,-0.0205376125484,14.4782301525,1.88992196365,-18.4205808966,105.94740564,978.870390932,2019-04-01 21:13:41,2019-04-01 11:39:37,975,975,2019-04-03 00:00:00,
7737--SL-8 R/B,10692--COSMOS 991,0.264152534722,2019-04-02 06:20:22.779000,3.05245187185,-0.850127364018,-2.57917194337,-1.39377831144,7.03063216729,0.0061257830474,3.34054638652,-6.18631562289,82.074502285,165.100157828,962.375031341,2019-04-01 18:00:47,2019-04-01 23:16:44,975,975,2019-04-03 00:00:00,
18586--SL-8 R/B,10520--COSMOS 968,0.315667511574,2019-04-02 07:34:33.673000,1.81951926723,-1.81949946557,-0.000257735287623,-0.00848482207632,12.8073524356,0.0286795250449,10.9638294895,-6.61981093542,57.9567168979,19.6589735238,768.53841443,2019-04-01 17:39:41,2019-04-01 22:55:50,775,775,2019-04-03 00:00:00,
7476--COSMOS 689,16727--COSMOS 1745,0.336245659722,2019-04-02 08:04:11.625000,3.14658923395,-2.61477987739,-1.44124283048,-0.993362523746,8.26645639105,0.0348452551478,4.64917595291,-6.83507498366,-81.5049914182,-117.790568874,1002.26261143,2019-04-01 18:46:40,2019-04-01 01:41:45,975,975,2019-04-03 00:00:00,
5847--SL-8 R/B,10776--COSMOS 1000,0.346318159722,2019-04-02 08:18:41.889000,3.87988548107,0.547900028249,-2.67220972048,2.75909624968,10.5862734132,0.0409870040073,7.60796056361,7.36114399439,-72.3385983262,27.6198486775,989.743532023,2019-04-01 22:32:01,2019-04-01 17:44:16,975,975,2019-04-03 00:00:00,
35946--WORLDVIEW 2,10121--SL-8 R/B,0.37322,2019-04-02 08:57:26.208000,4.27457429647,-3.50887713646,-0.490636291159,-2.39145200393,14.6127005636,-0.0118993789426,14.3181165112,-2.91931768365,-67.3591474101,3.96836672668,791.558810819,2019-04-02 04:27:47,2019-04-02 05:57:20,775N,775,2019-04-03 00:00:00,
16494--SL-8 R/B,13065--COSMOS 1339,0.384458958333,2019-04-02 09:13:37.254000,2.42483454227,-0.243852591444,-0.299976879132,-2.39381961372,14.6366640304,-0.0181005349183,14.523312692,-1.81796445557,6.97957291725,155.488951862,966.811221644,2019-04-01 17:00:52,2019-04-02 05:42:06,975,975,2019-04-03 00:00:00,
5846--COSMOS 475,17159--COSMOS 1802,0.398692835648,2019-04-02 09:34:07.061000,3.34562478922,1.53385461799,-1.08448109892,2.76846455408,13.7273502934,-0.00655563592841,12.7805245468,5.00981989791,-56.7040080302,-175.433588344,982.792911096,2019-04-01 16:57:12,2019-04-01 18:45:17,975,975,2019-04-03 00:00:00,
8421--SL-8 R/B,24306--SL-8 R/B,0.427346643519,2019-04-02 10:15:22.750000,3.50703020556,-3.05096754271,-0.210653004774,-1.71653232642,14.6424093575,0.010068806408,14.5308998941,-1.80360713004,-5.73828125346,-129.65197571,963.69087605,2019-04-01 23:13:02,2019-04-01 20:18:43,975,975,2019-04-03 00:00:00,
7434--SL-8 R/B,16681--COSMOS 1741,0.450554027778,2019-04-02 10:48:47.868000,4.51020823533,-3.61837351743,-1.96893804631,-1.83647335514,10.2178024096,-0.0190369164629,6.98781833225,-7.45476482752,67.9651351935,-124.902634098,783.173510874,2019-04-01 10:55:33,2019-04-01 22:44:23,775,775,2019-04-03 00:00:00,
20578--SL-8 R/B,24677--COSMOS 2336,0.455301365741,2019-04-02 10:55:38.038000,4.4598677384,0.045910744121,-2.5423526578,-3.66398081477,12.0978295316,-0.00334401512693,9.93948181034,-6.89667815214,77.636307605,25.5715319682,997.380079017,2019-04-01 21:00:39,2019-04-01 20:45:49,975,975,2019-04-03 00:00:00,
16494--SL-8 R/B,13065--COSMOS 1339,0.457174016204,2019-04-02 10:58:19.835000,1.72290006664,-0.321772871117,0.209741405306,1.67954023529,14.636644815,-0.0185852757383,14.5232952341,-1.81794432518,6.85168080903,129.201781628,966.775559376,2019-04-01 17:00:52,2019-04-02 05:42:06,975,975,2019-04-03 00:00:00,
15399--SL-8 R/B,13243--COSMOS 1372,0.468316643519,2019-04-02 11:14:22.558000,2.13749202615,-0.201555157501,2.01598271793,0.681220493919,4.669647043,-0.0209524431477,1.49328734314,-4.42439345133,56.300522596,50.2892716173,961.515573826,2019-04-01 23:00:04,2019-04-01 20:50:30,975,975,2019-04-03 00:00:00,
37932--CZ-2D R/B,17590--SL-16 R/B,0.49769099537,2019-04-02 11:56:40.502000,3.87373968335,2.83523404758,0.240396740742,2.62859590597,14.801878609,-0.00544565069189,14.7408271863,-1.34297973302,3.93437338585,-156.221674077,837.867236361,2019-04-02 11:38:51,2019-04-02 11:55:30,LEO,850,2019-04-03 00:00:00,
10352--COSMOS 951,5050--COSMOS 400,0.5074521875,2019-04-02 12:10:43.869000,2.95180416048,2.58704127995,-0.735965948696,-1.21602604415,12.6100691702,0.0292316104507,10.8136449625,-6.48676133495,-57.1951550631,130.257434427,1006.01973413,2019-04-01 23:20:13,2019-04-01 19:40:32,975,975,2019-04-03 00:00:00,
10600--SL-8 R/B,14966--SL-8 R/B,0.529787615741,2019-04-02 12:42:53.650000,3.2368436785,-1.48675291923,-0.355286924358,-2.85315508825,14.6212069152,-0.0104465711956,14.5096067177,-1.80302396683,6.35298658881,-50.1381969281,973.889485828,2019-04-01 18:27:01,2019-04-01 19:32:47,975,975,2019-04-03 00:00:00,
25893--SL-8 R/B,10536--COSMOS 971,0.5301690625,2019-04-02 12:43:26.607000,3.31560888693,-1.44809325603,1.17974124441,-2.73943403082,13.4691327808,-0.0313856638744,12.365318839,5.3399852826,-71.9724426597,-146.331025094,1019.4176057,2019-04-01 21:53:45,2019-04-01 21:47:32,975,975,2019-04-03 00:00:00,
10138--SL-8 R/B,20804--COSMOS 2100,0.533525381944,2019-04-02 12:48:16.593000,3.86150935851,-3.78748936044,0.129598482079,-0.741203820716,14.4884397549,-0.0337208037508,14.2418224437,2.661624113,48.1868180554,106.409933751,980.830989422,2019-04-02 04:08:05,2019-04-01 17:15:29,975,975,2019-04-03 00:00:00,
7714--METEOR 1-21,31793--SL-16 R/B,0.537884895833,2019-04-02 12:54:33.255000,4.55362441077,2.55510908608,-0.905421113829,-3.65884208995,14.4316575748,0.00171108316469,14.009447917,-3.46527148836,-0.268270702536,70.3095455864,849.607563754,2019-04-02 00:06:57,2019-04-02 04:46:56,850N,850,2019-04-03 00:00:00,
32958--FENGYUN 3A,20624--COSMOS 2082,0.550147488426,2019-04-02 13:12:12.743000,3.18361278938,-1.741714909,-0.306665487722,2.64722040018,14.7777099275,-0.0265902317505,14.6815696191,1.68271125814,34.783273695,62.5126464115,839.026840817,2019-04-02 11:20:44,2019-04-02 12:31:51,850N,850,2019-04-03 00:00:00,
21089--COSMOS 2123,23092--COSMOS 2279,0.550487569444,2019-04-02 13:12:42.126000,3.91862593949,1.99622035604,-1.62221896042,2.95620350928,12.934556031,-0.0269560638303,11.3314703455,6.23696984915,75.2782221149,131.282110316,973.320115489,2019-04-01 14:41:09,2019-04-02 07:28:55,975,975,2019-04-03 00:00:00,
17240--SL-8 R/B,21090--SL-8 R/B,0.554448020833,2019-04-02 13:18:24.309000,0.38509883222,-0.384663721752,-0.00228401016398,-0.0181580572378,14.5937235358,0.0237958989384,14.4469974467,-2.0640894286,-29.6227659397,77.0784140277,975.433810052,2019-04-02 00:35:11,2019-04-01 13:01:28,975,975,2019-04-03 00:00:00,
18586--SL-8 R/B,10520--COSMOS 968,0.559435555556,2019-04-02 13:25:35.232000,3.88866993333,-3.75417417622,-0.528322487185,0.865335457769,12.7484342375,-0.0181984354373,10.9140205114,6.58835340594,-57.9618928325,111.206117536,800.554886445,2019-04-02 12:02:32,2019-04-01 22:55:50,775,775,2019-04-03 00:00:00,
