PrimarySatellite,SecondarySatellite,TCA_EpDay,TCA_UTCG,Range,RangeX,RangeY,RangeZ,Velocity,VelocityX,VelocityY,VelocityZ,Latitude,Longitude,Altitude,PrimaryAge,SecondaryAge,PrimaryCluster,SecondaryCluster,DateGenerated
11803--COSMOS 1181,19324--COSMOS 1959,0.00210063657407,2016-05-02 00:03:01.495000,3.98567606389,-2.9390723594,1.97966935906,-1.82438389087,9.9450824199,-0.034325340178,6.71120848312,7.3391530033,80.4869728736,-103.394409174,981.969606535,2016-05-01 22:11:10,2016-05-01 16:54:05,975,975,2016-05-03 00:00:00,
21938--SL-8 R/B,10991--COSMOS 1027,0.0332625231481,2016-05-02 00:47:53.882000,4.64579868941,1.83409912088,-3.71536844322,-2.10132415597,7.26219081266,0.011565581242,3.57975054963,-6.31859696762,-81.9026023477,-46.4708697912,988.807994426,2016-05-01 22:17:07,2016-05-01 20:31:31,975,975,2016-05-03 00:00:00,
18187--COSMOS 1867,13648--COSMOS 1420,0.046735775463,2016-05-02 01:07:17.971000,2.62726467134,-2.26961535811,-0.4705472877,1.23691189238,13.9366903327,-0.00556922652388,13.0296581206,4.94563602326,9.66352674281,66.7284998891,792.096560591,2016-05-02 01:04:19,2016-05-01 22:45:05,775N,775,2016-05-03 00:00:00,
12682--SL-8 R/B,27006--SL-16 R/B,0.100417083333,2016-05-02 02:24:36.036000,1.76441055316,-0.132701744517,1.57111717926,0.791912656889,6.63128188574,-0.0179728789344,2.98363620416,-5.92211882902,-71.7036999024,45.0492691255,1012.73749537,2016-05-01 22:05:01,2016-05-01 22:15:25,975,975N,2016-05-03 00:00:00,
10121--SL-8 R/B,19039--SL-8 R/B,0.101852696759,2016-05-02 02:26:40.073000,0.789608786385,0.0842175101255,-0.223264225725,-0.752690196586,14.3097210525,-0.0123735122059,13.7164373022,-4.07766001921,15.5781812494,83.8371111863,775.967245924,2016-05-01 18:59:35,2016-05-01 21:49:21,775,775,2016-05-03 00:00:00,
10918--SL-8 R/B,32053--SL-8 R/B,0.125719305556,2016-05-02 03:01:02.148000,2.86377233131,1.56135262038,1.05147379856,-2.15818739023,13.1898349629,-0.0251751017279,11.8637152407,5.76397200299,-73.7388599781,-16.0958590788,1021.35624148,2016-05-01 22:41:22,2016-05-01 20:50:49,975,975,2016-05-03 00:00:00,
13950--SL-8 R/B,10536--COSMOS 971,0.126154247685,2016-05-02 03:01:39.727000,3.05284483502,1.08874642132,-0.367636278622,-2.82830981037,14.5615278053,-0.0190061011559,14.4389160339,-1.88558599886,-18.4171610659,-167.869937995,1003.24860355,2016-05-01 23:07:52,2016-05-01 22:08:12,975,975,2016-05-03 00:00:00,
6707--COSMOS 574,13916--COSMOS 1447,0.175777002315,2016-05-02 04:13:07.133000,2.57036997971,-1.47041786135,0.252976602861,-2.09300644624,14.6006971883,-0.0597171540869,14.4899323506,1.7940604002,3.93464083653,114.184133644,989.697614911,2016-05-01 21:31:54,2016-05-01 19:10:49,975,975,2016-05-03 00:00:00,
10537--SL-8 R/B,15752--SL-8 R/B,0.190594409722,2016-05-02 04:34:27.357000,2.27474862259,-2.2332176161,-0.0634751332745,0.428008507586,14.596998696,-0.0200625366215,14.4531102791,2.04440007954,28.8317158604,136.73000123,976.081481039,2016-05-01 21:44:16,2016-05-01 21:24:23,975,975,2016-05-03 00:00:00,
12504--COSMOS 1275,19921--COSMOS 2016,0.191265821759,2016-05-02 04:35:25.367000,1.28854272043,-1.14644064449,-0.469057090012,-0.354967093308,8.8460362367,-0.00606031006599,5.34734548587,-7.04685863547,-81.1959214911,58.2449194334,1037.12941524,2016-05-01 22:21:27,2016-05-01 20:34:55,975,975,2016-05-03 00:00:00,
