PrimarySatellite,SecondarySatellite,TCA_EpDay,TCA_UTCG,Range,RangeX,RangeY,RangeZ,Velocity,VelocityX,VelocityY,VelocityZ,Latitude,Longitude,Altitude,PrimaryAge,SecondaryAge,PrimaryCluster,SecondaryCluster,DateGenerated
6061 -- SL-8 R/B,15483 -- SL-8 R/B,0.5424367476851852,Thu 11 Jan 2018 13:01:06 GMT,4.59212410759945,-3.4983872762941246,-0.8263594482298359,-2.857624948621437,14.358629461485316,0.015021167108305918,-13.803662245834438,3.9533432661100596,-4.434250565624159,-151.92575791754152,771.2394643657143,491984.13868,483590.99568,775,775,Sun 07 Jan 2018 10:29:33 GMT
6061 -- SL-8 R/B,6965 -- COSMOS 614,0.24399693287037036,Tue 09 Jan 2018 05:51:21 GMT,2.7899139684064167,-2.7892995069751123,0.011952175233513117,0.05731803389196284,14.02228521405207,0.027097286780370725,-13.160860798683618,4.838955610350776,-37.5064747864918,-49.36207657252167,771.2243178541346,293398.93804,292024.75204,775,775,Sun 07 Jan 2018 10:29:33 GMT
6061 -- SL-8 R/B,27387 -- ARIANE 5 R/B,0.0023362152777777778,Wed 10 Jan 2018 00:03:21 GMT,3.349350340497238,-1.9366191545223046,0.42896231878036634,2.698822943950188,14.758854636350891,0.010150446785339226,-14.570446526039177,2.3506967429252,-63.21259051901193,13.706271314206203,773.7517028549499,358919.4526,347288.3426,775,775N,Sun 07 Jan 2018 10:29:33 GMT
6966 -- SL-8 R/B,12792 -- SL-8 R/B,0.6361673611111112,Tue 09 Jan 2018 15:16:04 GMT,4.157703567159286,-4.122166971740626,0.15574258930096402,0.5195985520930845,14.360497864563193,-0.015380968128580435,-13.802338214934927,3.964734813892394,-5.908323395429785,-140.88308948598905,765.9365572434663,353357.832672,357904.648672,775,775,Sun 07 Jan 2018 10:29:33 GMT
7434 -- SL-8 R/B,6059 -- COSMOS 494,0.7494238541666667,Tue 09 Jan 2018 17:59:10 GMT,3.7397646338698185,2.671741209333959,1.2183727383050136,2.3158597318592946,13.193605222019817,-0.025240463118378104,-11.675814038923921,6.143773124228889,-54.07920418849452,152.81531208806197,792.347796766993,329982.310312,371281.927312,775,775,Sun 07 Jan 2018 10:29:33 GMT
8344 -- SL-8 R/B,11573 -- COSMOS 1140,0.29427416666666667,Wed 10 Jan 2018 07:03:45 GMT,4.613362551364658,3.9129561183326587,0.9599111004350707,2.2473226572060954,13.759854997220916,-0.0022932760219864564,-12.662424691622508,5.384849599981333,45.611663462920475,-94.50663650571829,766.0351589418811,409250.492192,375281.88419199997,775,775,Sun 07 Jan 2018 10:29:33 GMT
8344 -- SL-8 R/B,14452 -- METEOR 2-10,0.8517938888888889,Sat 13 Jan 2018 20:26:34 GMT,2.547258272879814,2.4225068408941297,-0.3707954757637344,0.6946193416004535,13.02189823075844,0.0757937327838481,-11.355773216465636,-6.372637091385493,63.828712974405754,-177.80229455106019,785.4708567597298,716620.196384,698089.233384,775,LEO,Sun 07 Jan 2018 10:29:33 GMT
8924 -- SL-8 R/B,10677 -- SL-8 R/B,0.7830551157407407,Wed 10 Jan 2018 18:47:35 GMT,4.241855525568599,1.2124413164683574,1.228285701289773,3.8748727191903165,14.234051411599554,-0.0009919772095463486,-13.564081495762448,4.315543045823458,25.178736926608966,58.31889525756068,770.4378902050289,449882.367368,422758.975368,775,775,Sun 07 Jan 2018 10:29:33 GMT
9023 -- SL-8 R/B,6059 -- COSMOS 494,0.373083287037037,Fri 12 Jan 2018 08:57:14 GMT,4.782284948585907,-1.8948897658201531,2.7905133985094723,3.390085113621782,11.542037228200012,-0.018582865285678964,-8.917701950124364,7.32754187862621,64.47167064397661,-138.46102312465214,778.7810384592652,589616.50616,597966.10216,775,775,Sun 07 Jan 2018 10:29:33 GMT
9023 -- SL-8 R/B,11869 -- COSMOS 1190,0.780860625,Fri 12 Jan 2018 18:44:26 GMT,2.118468279230375,1.953396507200523,-0.2433793300492689,-0.7828897990563418,14.272621323666696,-0.023200212149853086,-13.639059875674656,4.205142911567112,21.413886095157007,43.30465392131299,772.7508965408439,624848.468528,593544.810528,775,775,Sun 07 Jan 2018 10:29:33 GMT
