PrimarySatellite,SecondarySatellite,TCA_EpDay,TCA_UTCG,Range,RangeX,RangeY,RangeZ,Velocity,VelocityX,VelocityY,VelocityZ,Latitude,Longitude,Altitude,PrimaryAge,SecondaryAge,PrimaryCluster,SecondaryCluster,DateGenerated
6061 -- SL-8 R/B,13242 -- SL-8 R/B,0.8908798032407408,Mon 09 Oct 2017 21:22:52 GMT,4.704742585279886,-2.8769891994297723,1.031176395825809,-3.576899660431838,14.358154863694397,0.013605272864904691,-13.788372796292503,-4.004647502195693,10.076490957062,166.1898317276595,763.9880019879513,296851.267872,282635.300872,775,775,Sun 08 Oct 2017 09:09:09 GMT
10121 -- SL-8 R/B,13649 -- SL-8 R/B,0.3132446990740741,Sat 07 Oct 2017 07:31:04 GMT,4.92467085923862,3.7585752400254933,1.7514881642749534,-2.6566491012745534,12.474142675231722,-0.002262612970303053,-10.414426507117472,-6.866145271582065,-60.22598122990833,6.849395750028823,777.0813203186023,70326.08927199998,32883.87027199998,775,775,Sun 08 Oct 2017 09:09:09 GMT
10677 -- SL-8 R/B,16012 -- SL-8 R/B,0.5435687731481481,Wed 11 Oct 2017 13:02:44 GMT,3.0748135769508953,1.272119081197161,0.8473001610096544,2.668009372811648,14.253181601688969,-0.028011989848740995,-13.58677197783564,4.307206556626908,24.833058455189803,-121.73594690397051,763.232554407614,396602.420784,435898.288784,775,775,Sun 08 Oct 2017 09:09:09 GMT
10677 -- SL-8 R/B,8343 -- COSMOS 773,0.2694519328703704,Tue 10 Oct 2017 06:28:00 GMT,3.9956329251022185,-2.180463462642365,-3.1235240824614885,1.2059265593402089,5.380662430569906,0.014250877219418158,-1.9468544054359391,-5.016082438345646,-72.85055143332114,-138.81565120631686,793.1568979082047,286518.725424,329926.150424,775,775,Sun 08 Oct 2017 09:09:09 GMT
10962 -- SL-8 R/B,15482 -- COSMOS 1624,0.7674438194444444,Mon 09 Oct 2017 18:25:07 GMT,3.9175653159177855,-1.3290682956539968,-1.6211426111054605,-3.309500280167209,13.401792944449218,-0.002207980709124968,-12.032561794850498,5.901313913342876,51.672004164605916,93.85302595417888,782.7758971892047,288828.44824,242379.02824,775,775,Sun 08 Oct 2017 09:09:09 GMT
11112 -- SL-8 R/B,15483 -- SL-8 R/B,0.44784836805555556,Sat 07 Oct 2017 10:44:54 GMT,2.2903507850978357,-2.1599345945878667,-0.22257300215004944,0.7285948974702041,14.293295328047744,0.04577791628465115,-13.695840474836661,-4.089027929104664,-16.256202074001703,-32.781154808619,783.598875708872,87493.732456,71490.736456,775,775,Sun 08 Oct 2017 09:09:09 GMT
11112 -- SL-8 R/B,15483 -- SL-8 R/B,0.900498599537037,Sat 07 Oct 2017 21:36:43 GMT,4.859678643674264,-4.816387148019203,0.20541795290075243,0.6137546943230554,14.329685923187478,-0.05227428791637317,-13.730440407206427,4.100264903658445,16.277980094187903,-17.019080331145044,766.7558380300444,126602.712424,110599.716424,775,775,Sun 08 Oct 2017 09:09:09 GMT
11427 -- SL-8 R/B,11111 -- COSMOS 1048,0.8515787615740741,Sun 08 Oct 2017 20:26:16 GMT,4.5406305621708425,3.045626333690052,-1.2891034389818088,-3.111221377731301,13.79984795322909,0.009543895585925383,-12.750360662047846,5.278637649431998,44.05927491908098,-130.31328268778248,777.5806805775981,223297.659248,207168.727248,775,775,Sun 08 Oct 2017 09:09:09 GMT
11511 -- SL-8 R/B,14759 -- COSMOS 1538,0.45835454861111113,Sun 08 Oct 2017 11:00:01 GMT,0.6690907332080686,0.5657128783686858,0.14344361981609835,0.32722358785150574,13.643838850453177,0.006668602224123788,-12.454813057746344,5.5706306468362286,47.7892225943956,-56.53860289012359,775.5894139111617,133208.165216,169296.66821600002,775,775,Sun 08 Oct 2017 09:09:09 GMT
11574 -- SL-8 R/B,10961 -- COSMOS 1023,0.8600830439814815,Thu 12 Oct 2017 20:38:31 GMT,3.5213200692517668,0.2762577067333041,1.5481301241349428,-3.1506618079910984,13.412296229799397,-0.005365773788824299,-12.032511780462464,-5.925227558279494,51.66176386493737,-170.28274369158015,768.8060457926109,554092.233424,512399.732424,775,775,Sun 08 Oct 2017 09:09:09 GMT
