PrimarySatellite,SecondarySatellite,TCA_EpDay,TCA_UTCG,Range,RangeX,RangeY,RangeZ,Velocity,VelocityX,VelocityY,VelocityZ,Latitude,Longitude,Altitude,PrimaryAge,SecondaryAge,PrimaryCluster,SecondaryCluster,DateGenerated
8597--SL-8 R/B,11321--SL-8 R/B,0.0179446412037,2016-11-14 00:25:50.417000,1.99811121091,0.688295192479,1.76045201242,-0.647693485478,5.09661344515,-0.00552248588864,1.76169692176,4.78245356144,82.525365062,-127.357949272,976.449618691,2016-11-13 20:50:26,2016-11-13 18:58:51,975,975,2016-11-14 00:00:00,
22007--SL-8 R/B,20527--COSMOS 2061,0.0248288425926,2016-11-14 00:35:45.212000,3.94471422264,-1.68052495343,1.51399508558,-3.23178357259,13.3340873767,0.0243562152461,12.0794818474,5.64653975825,-73.1576942,15.1828418466,995.90964607,2016-11-13 22:00:47,2016-11-13 21:57:11,975,975,2016-11-14 00:00:00,
13065--COSMOS 1339,23526--COSMOS 2310,0.0335945717593,2016-11-14 00:48:22.571000,4.45245059471,-3.30330823833,-0.685225853776,2.90567315956,14.2956606897,0.0428026512782,13.9030580409,3.32701962699,-58.2275413029,-25.3252453152,1004.11189504,2016-11-13 20:32:06,2016-11-13 20:24:39,975,975,2016-11-14 00:00:00,
19827--SL-8 R/B,18985--COSMOS 1934,0.0490987152778,2016-11-14 01:10:42.129000,1.91164572326,-1.51960366594,-0.835815415046,0.804118561946,10.1968158675,0.0027339282844,7.06899025423,7.34877017923,80.2491595705,-65.9913278224,997.360232416,2016-11-13 23:18:30,2016-11-13 21:33:18,975,975,2016-11-14 00:00:00,
11804--SL-8 R/B,17360--SL-8 R/B,0.0551151967593,2016-11-14 01:19:21.953000,3.35719497706,1.20254544798,0.395128323766,-3.10942376773,14.5855799414,-0.0481871595002,14.4714257595,1.82061987077,-9.84064348557,176.118268384,992.089698884,2016-11-12 21:44:42,2016-11-13 21:35:29,975,975,2016-11-14 00:00:00,
8421--SL-8 R/B,19827--SL-8 R/B,0.0868207175926,2016-11-14 02:05:01.310000,3.57271557078,2.37072960813,2.66914737571,0.139964143808,0.306517447719,-0.0172882074669,-0.000692230584474,0.306028731422,-82.9706150671,148.04456455,1019.6906093,2016-11-13 23:18:32,2016-11-13 23:18:30,975,975,2016-11-14 00:00:00,
12092--SL-8 R/B,20528--SL-8 R/B,0.0941770601852,2016-11-14 02:15:36.898000,2.332253936,2.32660819301,-0.0192446863603,-0.16103533864,14.5807526392,-0.00783672861691,14.4689911142,-1.80182747425,6.06050769037,135.513490968,998.862734979,2016-11-13 20:51:31,2016-11-13 21:19:18,975,975,2016-11-14 00:00:00,
27535--SL-8 R/B,11803--COSMOS 1181,0.119291134259,2016-11-14 02:51:46.754000,4.07276175569,2.78886196552,-1.9236687208,2.26033977722,11.1983455763,0.0165354115226,8.53861255478,7.24532717453,79.0876099631,-30.9571980494,1016.82177853,2016-11-13 20:08:36,2016-11-13 23:10:39,975,975,2016-11-14 00:00:00,
11804--SL-8 R/B,17360--SL-8 R/B,0.127808032407,2016-11-14 03:04:02.614000,1.3853796721,1.06515800804,0.11419746418,-0.878449880738,14.5854783305,-0.0478619057626,14.4713260522,1.82060694778,-9.91132542042,149.814291417,992.076717793,2016-11-12 21:44:42,2016-11-13 21:35:29,975,975,2016-11-14 00:00:00,
8597--SL-8 R/B,20509--SL-8 R/B,0.162360289352,2016-11-14 03:53:47.929000,3.02863552944,2.96187814551,-0.406690810009,0.48426604916,11.1534835938,-0.0373287464694,8.42712163512,7.30632765409,79.2718879351,151.606831933,976.818363135,2016-11-13 20:50:26,2016-11-13 22:11:15,975,975,2016-11-14 00:00:00,
13618--SL-8 R/B,21875--COSMOS 2180,0.175886585648,2016-11-14 04:13:16.601000,3.59750255714,-3.24456835228,-1.55139536957,-0.0892931311818,0.333234677607,0.00657152393705,0.00542965164595,-0.333125628429,-82.9246998405,83.3338140215,1011.34357335,2016-11-13 13:36:02,2016-11-13 21:56:58,975,975,2016-11-14 00:00:00,
15752--SL-8 R/B,10531--COSMOS 970,0.185392604167,2016-11-14 04:26:57.921000,0.749434724499,-0.224546548206,-0.235633766182,0.675061465504,13.9589971184,-0.0863584759335,13.187308661,4.57613734961,34.4238070089,-10.41385151,976.582725939,2016-11-13 21:50:36,2016-11-13 14:27:25,975,LEO,2016-11-14 00:00:00,
11804--SL-8 R/B,17360--SL-8 R/B,0.20050087963,2016-11-14 04:48:43.276000,1.64902384392,0.92864907352,-0.166811380026,1.35242911073,14.5853773356,-0.0475361760801,14.4712272989,1.8205913322,-9.98200189686,123.510311077,992.063732587,2016-11-12 21:44:42,2016-11-13 21:35:29,975,975,2016-11-14 00:00:00,
12442--COSMOS 1269,13027--COSMOS 1331,0.246160231481,2016-11-14 05:54:28.244000,2.82971791982,2.16162879044,0.585617309035,1.72965801401,14.1281354126,-0.0161829896615,13.3882409207,-4.51208969286,-30.866697447,-42.5786064102,793.117002303,2016-11-13 22:12:50,2016-11-13 22:14:43,775,775,2016-11-14 00:00:00,
