PrimarySatellite,SecondarySatellite,TCA_EpDay,TCA_UTCG,Range,RangeX,RangeY,RangeZ,Velocity,VelocityX,VelocityY,VelocityZ,Latitude,Longitude,Altitude,PrimaryAge,SecondaryAge,PrimaryCluster,SecondaryCluster,DateGenerated
10536--COSMOS 971,11308--COSMOS 1089,0.00125061342593,2018-08-30 00:01:48.053000,3.69171308746,3.66488686578,0.300133334843,0.327520629096,10.8153066602,-0.000991138102252,7.97450776701,-7.3060305943,-79.594046968,75.6800987213,1025.28296077,2018-08-29 23:03:40,2018-08-29 23:13:08,975,975,2018-08-30 00:00:00,
21903--SL-8 R/B,11378--COSMOS 1104,0.0281098611111,2018-08-30 00:40:28.692000,4.22421975978,-2.07096553964,0.944117411074,-3.55862004528,14.2547955304,-0.00977231045495,13.7764668518,3.66170195355,-61.509441764,-142.767137155,977.260651323,2018-08-29 21:45:47,2018-08-29 22:19:56,975,975,2018-08-30 00:00:00,
8874--SL-8 R/B,11804--SL-8 R/B,0.0296172916667,2018-08-30 00:42:38.934000,0.344484868597,-0.33892086244,0.0456075678312,-0.0415020897211,9.9117293479,0.0115500510398,6.69962652893,7.30460468712,-80.4649021856,3.74059638514,1021.41239122,2018-08-29 22:09:08,2018-08-29 19:56:44,975,975,2018-08-30 00:00:00,
9025--COSMOS 842,11803--COSMOS 1181,0.0544129398148,2018-08-30 01:18:21.278000,2.35947861577,2.349452502,0.0312846373112,0.215019884224,14.5525818877,-0.00629475613512,14.4118871784,-2.0186896574,28.2195977913,168.093407423,1002.3734906,2018-08-29 21:45:00,2018-08-29 22:01:52,975,975,2018-08-30 00:00:00,
17067--SL-8 R/B,20045--COSMOS 2026,0.0567422337963,2018-08-30 01:21:42.529000,1.48079799199,-1.23595542844,-0.100346783388,-0.809387048982,14.6671109021,0.00916811165477,14.5537292862,-1.82017087783,8.4883240612,5.05570600498,949.71718922,2018-08-29 23:06:27,2018-08-29 20:37:37,975,975,2018-08-30 00:00:00,
6966--SL-8 R/B,10961--COSMOS 1023,0.0569891319444,2018-08-30 01:22:03.861000,4.11434554846,0.294249264402,1.67843899129,3.74487639516,13.64356241,0.0283984352549,12.4495106348,-5.58172676853,47.9388596475,-69.3772424998,767.519512344,2018-08-29 19:46:41,2018-08-29 13:26:04,775,775,2018-08-30 00:00:00,
22219--COSMOS 2219,23704--COSMOS 2322,0.0683310416667,2018-08-30 01:38:23.802000,3.48142667758,-3.44251578313,-0.199997327875,0.478975848102,13.7866326202,-0.0232074091167,12.7782202052,5.17569210909,30.1691204815,9.58407468177,841.877211258,2018-08-29 20:23:41,2018-08-29 21:32:42,850,850,2018-08-30 00:00:00,
23604--SL-8 R/B,27001--METEOR 3M,0.0872489467593,2018-08-30 02:05:38.309000,4.94661794075,4.76353791842,0.0961384771631,1.32984696289,14.6302147089,0.0028903237926,14.5916762548,-1.06120598771,-71.4563333222,158.750931164,1029.31642004,2018-08-29 23:15:54,2018-08-29 21:52:39,975,975N,2018-08-30 00:00:00,
7594--SL-8 R/B,16369--SL-8 R/B,0.0957719328704,2018-08-30 02:17:54.695000,3.46218590136,3.44834256182,-0.258986742651,-0.169087725972,7.39677119434,-0.0349506077746,3.70734092262,-6.40051762281,81.8776661556,68.7102986715,984.546602732,2018-08-29 19:33:07,2018-08-29 22:57:45,975,975,2018-08-30 00:00:00,
9025--COSMOS 842,11803--COSMOS 1181,0.12723375,2018-08-30 03:03:12.996000,2.33273810176,2.26289564683,0.0793765954242,0.560954275369,14.552593486,-0.00635620370603,14.4118976795,-2.01869810623,28.2109007714,141.754033088,1002.32141483,2018-08-29 21:45:00,2018-08-29 22:01:52,975,975,2018-08-30 00:00:00,
