PrimarySatellite,SecondarySatellite,TCA_EpDay,TCA_UTCG,Range,RangeX,RangeY,RangeZ,Velocity,VelocityX,VelocityY,VelocityZ,Latitude,Longitude,Altitude,PrimaryAge,SecondaryAge,PrimaryCluster,SecondaryCluster,DateGenerated
11586--SL-8 R/B,5050--COSMOS 400,0.0178109027778,2018-03-04 00:25:38.862000,3.81827016577,-3.73671913621,0.239963935446,-0.74735163452,13.988916632,-0.00996309254892,13.3053748201,4.31933908965,29.0404079964,75.0508430638,990.676265388,2018-03-03 22:32:39,2018-03-03 10:12:29,975,975,2018-03-04 00:00:00,
14085--SL-8 R/B,17160--SL-8 R/B,0.0421347800926,2018-03-04 01:00:40.445000,1.90505619771,1.10216736002,1.51834006729,0.330317524516,3.19687321931,-0.0201387679788,0.693642446597,-3.1206494463,-82.7957737748,-22.910545047,1030.6506219,2018-03-03 21:58:06,2018-03-03 22:41:42,975,975,2018-03-04 00:00:00,
9613--SL-8 R/B,14547--SL-8 R/B,0.0500464699074,2018-03-04 01:12:04.015000,3.67253680676,0.260255307177,3.1694616074,-1.83692865711,7.36426326241,0.0281344891632,3.69112156763,6.37237816059,81.8855855884,-161.010614364,1007.15602727,2018-03-03 19:33:16,2018-03-03 21:15:17,975,975,2018-03-04 00:00:00,
17369--COSMOS 1818,16860--COSMOS 1763,0.0517026157407,2018-03-04 01:14:27.106000,1.1013580327,-1.09453029678,0.109571125491,0.0546544974751,6.89837382018,0.0156700208778,3.202678951,-6.10984151596,-65.0023241385,169.067191756,799.450138266,2018-03-03 13:56:03,2018-03-03 22:13:42,775N,775,2018-03-04 00:00:00,
28381--SL-8 R/B,9025--COSMOS 842,0.0530966898148,2018-03-04 01:16:27.554000,4.22422691911,-4.19483355147,0.492681131859,-0.0687738460088,2.61790734509,0.0119669977747,0.461339465805,2.57690930297,82.8958754437,41.2668310303,975.045818084,2018-03-03 20:17:11,2018-03-03 18:28:20,975,975,2018-03-04 00:00:00,
18130--SL-8 R/B,13916--COSMOS 1447,0.0566566435185,2018-03-04 01:21:35.134000,4.00494019532,-1.27962106749,-2.80153135302,-2.5599878847,9.93951374296,-0.0091815534211,6.70715269591,-7.33539036856,80.467940237,-53.5207870515,989.915315296,2018-03-03 21:24:18,2018-03-03 23:18:03,975,975,2018-03-04 00:00:00,
6271--SL-8 R/B,15171--COSMOS 1589,0.0594546643519,2018-03-04 01:25:36.883000,4.80977663944,-3.70238778587,1.87530710402,2.43094616764,11.2916464855,0.0454261251601,8.97395394301,-6.8532742138,-69.9381983038,7.57517654489,1523.51465912,2018-03-03 22:31:17,2018-03-03 22:34:24,1500,1500,2018-03-04 00:00:00,
11681--SL-8 R/B,14450--COSMOS 1506,0.136784594907,2018-03-04 03:16:58.189000,1.98763720881,-0.914436683,-0.619111523828,1.65263672588,13.7968196399,-0.0521036088778,12.9291753323,4.81517835771,-69.4780487422,-8.94768875886,991.425744157,2018-03-03 22:55:13,2018-03-03 22:54:40,975,975,2018-03-04 00:00:00,
6148--COSMOS 514,18820--METEOR 2-17,0.14031400463,2018-03-04 03:22:03.130000,4.39361700395,2.3957716332,0.470111310462,-3.65282685255,14.6236208852,-0.0125831471938,14.5050890904,1.85809578272,-7.32351696318,-176.573832492,958.551380701,2018-03-03 22:19:22,2018-03-03 21:47:45,975,975N,2018-03-04 00:00:00,
10352--COSMOS 951,27534--NADEZHDA 7,0.152064340278,2018-03-04 03:38:58.359000,1.86615104934,-1.07318332346,-0.28294961202,1.50024558332,14.4063762666,-0.0107041027113,14.1579032947,2.66408274145,-48.6057239751,18.4840277161,1023.71935216,2018-03-03 23:10:45,2018-03-03 23:17:48,975,975,2018-03-04 00:00:00,
